Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.1","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No
45,,2,,,,Cunoniaceae,Weinmannia,cochensis,,151,1300,a,1,8,4,0,0,0,1,,149,1300,a,1,,,0,0,,,1105427,152,1300,a,1,10000,,0,0,0,4,,1105427,
46,,2,,,,Clethraceae,Clethra,cuneata,,319,1300,a,1,10,4,0,0,0,1,,321,1300,c,1,,,0,0,,,1105428,323,1300,cf,1,10000,,0,0,0,4,,1105428,
47,,2,,,,Clethraceae,Clethra,indet,,165,1300,a,1,8,4,0,0,0,1,,170,1300,a,1,,,0,0,,,1105429,173,1300,a,1,9000,,0,0,0,2b,,1105429,
48,,2,,,,Clethraceae,Clethra,indet,,119,1300,a,1,8,4,0,0,0,1,,121,1300,a,1,,,0,0,,,1105430,123,1300,a,1,8000,,0,0,0,3a,,1105430,
49,,2,,,,Cunoniaceae,Weinmannia,cochensis,,220,1300,a,1,8.5,4,0,0,0,1,,219,1300,a,1,,,0,0,,,1105431,234,1300,a,1,10000,,0,0,0,3b,,1105431,
50,,2,,,,Clethraceae,Clethra,cuneata,,238,1300,a,1,6,4,0,0,0,1,,243,1300,ah,1,,,0,0,,,1105432,243,1300,c,1,8000,,0,0,0,3b,,1105432,
51,,2,,,,Cunoniaceae,Weinmannia,cochensis,,107,1300,a,1,6,4,0,0,0,1,,109,1300,a,1,,,0,0,,,1105433,109,1300,a,1,7000,,0,0,1,3a,,1105433,
52,,2,,,,Clethraceae,Clethra,cuneata,,212,1300,a,1,6.5,4,0,0,0,1,,214,1300,a,1,,,0,0,,,1105434,215,1300,a,1,9000,,0,0,0,4,,1105434,
53,,2,,,,Clethraceae,Clethra,cuneata,,280,1300,a,1,9,4,0,0,0,1,,283,1300,a,1,,,0,0,,,1105435,287,1300,c,1,10000,,0,0,0,4,,1105435,
54,,2,,,,Cunoniaceae,Weinmannia,cochensis,,132,1300,a,1,5,4,0,0,0,1,,135,1300,c,1,,,0,0,,,1105436,135,1300,c,1,6000,,0,0,0,2c,,1105436,
55,,2,,,,Lauraceae,Persea,ruizii,,207,1300,a,1,7,4,0,0,0,1,,205,1300,c,1,,,0,0,,,1105437,206,1300,c,1,7000,,0,0,0,1,,1105437,
56,,2,,,,Cunoniaceae,Weinmannia,cochensis,,220,1300,a,1,8,4,0,0,0,1,,222,1300,c,1,,,0,0,,,1105438,222,1300,c,1,10000,,0,0,0,2c,,1105438,
57,,2,,,,Clethraceae,Clethra,cuneata,,389,1300,a,1,12,4,0,0,0,1,,393,1300,a,1,,,0,0,,,1105439,397,1300,a,1,13000,,0,0,0,4,,1105439,
58,,2,57,,,Clethraceae,Clethra,cuneata,,289,1300,a,1,12,4,0,0,0,1,,292,1300,a,1,,,0,0,,,1105440,293,1300,a,1,13000,,0,0,0,4,,1105440,
59,,2,,,,Clethraceae,Clethra,cuneata,,158,1300,a,1,7,4,0,0,0,1,,159,1300,a,1,,,0,0,,,1105441,159,1300,a,1,5000,,0,0,0,1,,1105441,
60,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,141,1300,a,1,5,4,0,0,0,1,,142,1300,c,1,,,0,0,,,1105442,142,1300,cm,1,6000,,0,0,2,2c,,1105442,
60.1,,2,,,,Indet,Indet,indet,Recluta,,,,,,,,,,,,205,1300,an,1,,,0,0,,,1128751,205,1300,cm,1,8000,,0,0,3,4,,1128751,
61,,2,,,,Melastomataceae,Miconia,setulosa,,391,1300,a,1,7,4,0,0,0,1,,384,1300,a,1,,,0,0,,,1105443,0,1300,0,aps,0,,0,0,,,,1105443,
61.1,,2,,,,Indet,Indet,indet,Recluta,,,,,,,,,,,,252,1300,an,1,,,0,0,,,1128752,0,1300,0,k,0,,0,0,,,,1128752,
62,,2,,,,Melastomataceae,Miconia,indet,,170,1300,a,1,6,4,0,0,0,1,,175,1300,a,1,,,0,0,,,1105444,180,1300,m,1,6000,,0,0,3,2a,,1105444,
63,,2,61,,,Melastomataceae,Miconia,setulosa,,190,1300,a,1,6,4,0,0,0,1,,199,1300,c,1,,,0,0,,,1105445,203,1300,ch,1,7000,,0,0,0,1,,1105445,
64,,2,61,,,Melastomataceae,Miconia,setulosa,,125,1300,a,1,7,4,0,0,0,1,,127,1300,c,1,,,0,0,,,1105446,127,1300,ch,1,7000,,0,0,0,1,,1105446,
65,,2,61,,,Melastomataceae,Miconia,setulosa,,114,1300,a,1,7,4,0,0,0,1,,114,1300,c,1,,,0,0,,,1105447,115,1300,cm,1,4,,0,0,2,1,,1105447,
66,,2,,,,Clethraceae,Clethra,indet,,105,1300,a,1,5,4,0,0,0,1,,108,1300,c,1,,,0,0,,,1105448,110,1300,bc,1,4500,,0,0,1,3a,b=3500,1105448,
67,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,330,1300,a,1,12,4,0,0,0,1,,331,1300,a,1,,,0,0,,,1105449,335,1300,a,1,13000,,0,0,0,4,,1105449,
68,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,334,1300,a,1,12,4,0,0,0,1,,338,1300,a,1,,,0,0,,,1105450,340,1300,a,1,12000,,0,0,0,4,,1105450,
69,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,242,1300,a,1,10,4,0,0,0,1,,242,1300,c,1,,,0,0,,,1105451,245,1300,c,1,12000,,0,0,0,4,,1105451,
70,,2,,,,Melastomataceae,Miconia,setulosa,,192,1300,a,1,9,4,0,0,0,1,,196,1300,a,1,,,0,0,,,1105452,200,1300,c,1,7000,,0,0,1,2c,,1105452,
71,,2,,,,Lauraceae,Persea,ruizii,,135,1300,a,1,6,4,0,0,0,1,,139,1300,c,1,,,0,0,,,1105453,141,1300,clm,1,7000,,0,0,3,3a,,1105453,
72,,2,,,,Symplocaceae,Symplocos,baehnii,,112,1300,a,1,6,4,0,0,0,1,,111,1300,c,1,,,0,0,,,1105454,113,1300,cm,1,7000,,0,0,2,3b,,1105454,
73,,2,,,,Clethraceae,Clethra,indet,,103,1300,a,1,5,4,0,0,0,1,,105,1300,c,1,,,0,0,,,1105455,106,1300,cm,1,5000,,0,0,3,3a,,1105455,
74,,2,,,,Symplocaceae,Symplocos,baehnii,,198,1300,a,1,11,4,0,0,0,1,,200,1300,a,1,,,0,0,,,1105456,200,1300,m,1,9000,,0,0,2,3b,,1105456,
75,,2,,,,Symplocaceae,Symplocos,baehnii,,219,1300,a,1,12,4,0,0,0,1,,223,1300,a,1,,,0,0,,,1105457,224,1300,m,1,9000,,0,0,2,3b,,1105457,
