Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.1","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No
76,,2,,,,Clethraceae,Clethra,cuneata,,477,1300,a,1,11,4,0,0,0,1,,490,1300,c,1,,,0,0,,,1105458,492,1300,c,1,12000,,0,0,1,4,,1105458,
77,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,275,1300,a,1,9,4,0,0,0,1,,280,1300,a,1,,,0,0,,,1105459,281,1300,a,1,12000,,0,0,1,3b,,1105459,
78,,2,,,,Melastomataceae,Miconia,setulosa,,134,1300,a,1,9,4,0,0,0,1,,133,1300,c,1,,,0,0,,,1105460,134,1300,dh,1,7000,,0,0,1,3a,,1105460,
79,,2,78,,,Melastomataceae,Miconia,setulosa,,135,1300,a,1,9,4,0,0,0,1,,135,1300,c,1,,,0,0,,,1105461,136,1300,bh,1,8000,,0,0,1,3a,b=8000,1105461,
80,,2,78,,,Melastomataceae,Miconia,setulosa,,158,1300,a,1,10,4,0,0,0,1,,160,1300,d,1,,,0,0,,,1105462,170,1300,d,1,10000,,0,0,1,2c,,1105462,
81,,2,,,,Cunoniaceae,Weinmannia,fagaroides,,180,1300,a,1,11,4,0,0,0,1,,183,1300,c,1,,,0,0,,,1105463,184,1300,cm,1,8000,,0,0,3,3b,,1105463,
82,,3,,,,Cunoniaceae,Weinmannia,fagaroides,,478,1300,a,1,14,4,0,0,0,1,,483,1300,ah,1,,,0,0,,,1105464,483,1300,ah,1,10000,,0,0,2,3b,,1105464,
83,,3,,,,Cunoniaceae,Weinmannia,fagaroides,,297,1300,a,1,9,4,0,0,0,1,,300,1300,c,1,,,0,0,,,1105465,297,1300,ch,1,10000,,0,0,0,2c,,1105465,
84,,3,,,,Clethraceae,Clethra,cuneata,,199,1300,a,1,11,4,0,0,0,1,,206,1300,a,1,,,0,0,,,1105466,206,1300,a,1,11000,,0,0,0,2b,,1105466,
85,,3,,,,Melastomataceae,Miconia,setulosa,,119,1300,a,1,6,4,0,0,0,1,,123,1300,c,1,,,0,0,,,1105467,128,1300,c,1,8000,,0,0,1,3a,,1105467,
86,,3,,,,Clethraceae,Clethra,cuneata,,270,1300,a,1,9,4,0,0,0,1,,212,1300,c,1,,,0,0,,,1105468,214,1300,c,1,9000,,0,0,0,2c,,1105468,
87,,3,,,,Rosaceae,Prunus,huantensis,,222,1300,a,1,10,4,0,0,0,1,,228,1300,c,1,,,0,0,,,1105469,230,1300,a,1,10000,,0,0,1,2c,,1105469,
88,,3,,,,Melastomataceae,Miconia,indet,,127,1300,a,1,5,4,0,0,0,1,,133,1300,c,1,,,0,0,,,1105470,140,1300,d,1,5000,,0,0,0,2c,,1105470,
89,,3,,,,Cunoniaceae,Weinmannia,fagaroides,,231,1300,a,1,12,4,0,0,0,1,,230,1300,c,1,,,0,0,,,1105471,230,1300,cm,1,4000,,0,0,3,1,,1105471,
90,,3,,,,Rosaceae,Prunus,huantensis,,271,1300,a,1,10,4,0,0,0,1,,275,1300,a,1,,,0,0,,,1105472,272,1300,a,1,9000,,0,0,0,4,,1105472,
91,,3,,,,Rosaceae,Prunus,huantensis,,108,1300,a,1,10,4,0,0,0,1,,112,1300,a,1,,,0,0,,,1105473,114,1300,a,1,8000,,0,0,0,3b,,1105473,
92,,3,,,,Araliaceae,Oreopanax,indet,,118,1300,a,1,6,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105474,0,1300,0,kru,0,,0,0,,,,1105474,
93,,3,,,,Araliaceae,Oreopanax,indet,,150,1300,a,1,7,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105475,0,1300,0,kru,0,,0,0,,,,1105475,
94,,3,,,,Melastomataceae,Miconia,alpina,,111,1300,a,1,7,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105476,0,1300,0,kru,0,,0,0,,,,1105476,
95,,3,,,,Rosaceae,Prunus,huantensis,,267,1300,a,1,9,4,0,0,0,1,,274,1300,a,1,,,0,0,,,1105477,267,1300,a,1,9000,,0,0,2,3b,,1105477,
96,,3,95,,,Rosaceae,Prunus,huantensis,,102,1300,a,1,6,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105478,0,1300,0,kru,0,,0,0,,,,1105478,
97,,3,,,,Melastomataceae,Miconia,indet,,211,1300,a,1,6,4,0,0,0,1,,214,1300,c,1,,,0,0,,,1105479,0,1300,0,bps,,,0,0,,,,1105479,
98,,3,,,,Cunoniaceae,Weinmannia,fagaroides,,295,1300,a,1,12,4,0,0,0,1,,318,1300,c,1,,,0,0,,,1105480,411,1300,c,1,11000,,0,0,0,4,,1105480,
99,,3,,,,Cunoniaceae,Weinmannia,fagaroides,,143,1300,a,1,12,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105481,0,1300,0,kru,0,,0,0,,,,1105481,
100,,3,,,,Melastomataceae,Miconia,alpina,,145,1300,a,1,6,4,0,0,0,1,,142,1300,a,1,,,0,0,,,1105482,144,1300,a,1,7000,,0,0,1,3a,,1105482,
101,,3,,,,Melastomataceae,Miconia,alpina,,201,1300,a,1,6,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105483,0,1300,0,kru,0,,0,0,,,,1105483,
102,,3,,,,Melastomataceae,Miconia,alpina,,234,1300,a,1,6,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105484,0,1300,0,kru,0,,0,0,,,,1105484,
103,,3,,,,Clethraceae,Clethra,cuneata,,284,1300,a,1,7,4,0,0,0,1,,288,1300,a,1,,,0,0,,,1105485,291,1300,a,1,11000,,0,0,1,4,,1105485,
104,,4,,,,Symplocaceae,Symplocos,baehnii,,255,1300,a,1,8,4,0,0,0,1,,264,1300,a,1,,,0,0,,,1105486,264,1300,a,1,11000,,0,0,2,4,,1105486,
105,,4,,,,Melastomataceae,Miconia,setulosa,,213,1300,a,1,8,4,0,0,0,1,,218,1300,ch,1,,,0,0,,,1105487,220,1300,ch,1,12000,,0,0,1,3a,,1105487,
106,,4,105,,,Melastomataceae,Miconia,setulosa,,215,1300,a,1,8,4,0,0,0,1,,215,1300,ch,1,,,0,0,,,1105488,218,1300,ch,1,11000,,0,0,2,3a,,1105488,
107,,4,,,,Symplocaceae,Symplocos,psiloclada,,127,1300,a,1,6,4,0,0,0,1,,128,1300,ch,1,,,0,0,,,1105489,129,1300,ch,1,10000,,0,0,2,1,,1105489,
108,,4,,,,Symplocaceae,Symplocos,psiloclada,,152,1300,a,1,6.5,4,0,0,0,1,,153,1300,c,1,,,0,0,,,1105490,154,1300,c,1,8000,,0,0,0,1,,1105490,
109,,4,,,,Symplocaceae,Symplocos,quitensis,,158,1300,a,1,5.5,4,0,0,0,1,,0,1300,0,mru,,,0,0,,,1105491,0,1300,0,mru,0,,0,0,,,,1105491,
110,,4,,,,Asteraceae,Pentacalia,indet,,110,1300,a,1,13,4,0,0,0,1,,130,1300,d,1,,,0,0,,,1105492,0,1300,0,aps,0,,0,0,,,,1105492,
111,,4,,,,Clethraceae,Clethra,cuneata,,407,1300,a,1,11,4,0,0,0,1,,407,1300,a,1,,,0,0,,,1105493,411,1300,a,1,12000,,0,0,0,4,,1105493,
112,,4,,,,Clethraceae,Clethra,cuneata,,462,1300,a,1,13,4,0,0,0,1,,0,1300,0,mqu,,,0,0,,,1105494,0,1300,0,mqu,0,,0,0,,,,1105494,
113,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,144,1300,a,1,9,4,0,0,0,1,,0,1300,0,mqu,,,0,0,,,1105495,0,1300,0,mqu,0,,0,0,,,,1105495,
114,,4,,,,Melastomataceae,Miconia,indet,,91,1300,a,1,8,4,0,0,0,1,,92,1300,ch,1,,,0,0,,,1105496,101,1300,chi,1,65000,,0,0,0,2b,,1105496,
115,,4,,,,Melastomataceae,Miconia,indet,,90,1300,a,1,7,4,0,0,0,1,,90,1300,ch,1,,,0,0,,,1105497,99,1300,ch,1,7000,,0,0,0,2a,,1105497,
116,,4,,,,Melastomataceae,Miconia,setulosa,,321,1300,a,1,9,4,0,0,0,1,,314,1300,a,1,,,0,0,,,1105498,332,1300,c,1,8000,,0,0,1,3b,,1105498,
117,,4,,,,Melastomataceae,Miconia,setulosa,,314,1300,a,1,9,4,0,0,0,1,,320,1300,c,1,,,0,0,,,1105499,325,1300,c,1,9000,,0,0,1,3a,,1105499,
118,,4,,,,Melastomataceae,Miconia,setulosa,,128,1300,a,1,8,4,0,0,0,1,,128,1300,c,1,,,0,0,,,1105500,130,1300,c,1,10000,,0,0,1,3a,,1105500,
119,,4,118,,,Melastomataceae,Miconia,setulosa,,183,1300,a,1,9,4,0,0,0,1,,193,1300,c,1,,,0,0,,,1105501,190,1300,c,1,9000,,0,0,0,3a,,1105501,
120,,4,,,,Symplocaceae,Symplocos,psiloclada,,156,1300,a,1,10,4,0,0,0,1,,154,1300,c,1,,,0,0,,,1105502,154,1300,c,1,9000,,0,0,1,3b,,1105502,
121,,4,,,,Clethraceae,Clethra,cuneata,,445,1300,a,1,13,4,0,0,0,1,,453,1300,c,1,,,0,0,,,1105503,468,1300,c,1,10000,,0,0,2,3b,,1105503,
122,,4,,,,Clethraceae,Clethra,cuneata,,193,1300,a,1,10,4,0,0,0,1,,194,1300,c,1,,,0,0,,,1105504,199,1300,c,1,10000,,0,0,1,3a,,1105504,
123,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,125,1300,a,1,7,4,0,0,0,1,,126,1300,a,1,,,0,0,,,1105505,131,1300,a,1,6000,,0,0,0,2c,,1105505,
124,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,117,1300,a,1,7,4,0,0,0,1,,117,1300,a,1,,,0,0,,,1105506,119,1300,a,1,9000,,0,0,0,3a,,1105506,
125,,4,,,,Symplocaceae,Symplocos,quitensis,,133,1300,a,1,10,4,0,0,0,1,,133,1300,a,1,,,0,0,,,1105507,133,1300,a,1,6000,,0,0,0,3b,,1105507,
126,,4,,,,Clethraceae,Clethra,cuneata,,428,1300,a,1,10,4,0,0,0,1,,428,1300,c,1,,,0,0,,,1105508,443,1300,c,1,10000,,0,0,0,4,,1105508,
127,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,331,1300,a,1,9,4,0,0,0,1,,432,1300,c,1,,,0,0,,,1105509,529,1300,c,1,12000,,0,0,0,4,,1105509,
128,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,315,1300,a,1,9,4,0,0,0,1,,315,1300,a,1,,,0,0,,,1105510,319,1300,c,1,10000,,0,0,1,3a,,1105510,
129,,4,,,,Symplocaceae,Symplocos,psiloclada,,216,1300,a,1,11,4,0,0,0,1,,220,1300,c,1,,,0,0,,,1105511,224,1300,c,1,10000,,0,0,0,3a,,1105511,
