plot_code,measurement_code,subplot,replica,day,month,year,Id,soil_temp,air_temp,collar_depth
ACJ,STEM,22,1,25,9,13,ACJ_STEM_22_1_250913,8.4,8.5,7
ACJ,STEM,23,1,25,9,13,ACJ_STEM_23_1_250913,8.4,8.5,7
ACJ,STEM,24,1,25,9,13,ACJ_STEM_24_1_250913,8.2,8.4,7
ACJ,STEM,25,1,25,9,13,ACJ_STEM_25_1_250913,8.4,8.7,7
ACJ,STEM,1,1,20,11,13,ACJ_STEM_1_1_201113,8.6,8.2,7
ACJ,STEM,2,1,20,11,13,ACJ_STEM_2_1_201113,8.6,8.3,7
ACJ,STEM,3,1,20,11,13,ACJ_STEM_3_1_201113,8.5,8.3,7
ACJ,STEM,4,1,20,11,13,ACJ_STEM_4_1_201113,8.6,8.6,7
ACJ,STEM,5,1,20,11,13,ACJ_STEM_5_1_201113,9.4,9,7
ACJ,STEM,6,1,20,11,13,ACJ_STEM_6_1_201113,9.3,9,7
ACJ,STEM,7,1,20,11,13,ACJ_STEM_7_1_201113,8.9,8.8,7
ACJ,STEM,8,1,20,11,13,ACJ_STEM_8_1_201113,8.7,8.2,7
ACJ,STEM,9,1,20,11,13,ACJ_STEM_9_1_201113,8.7,8.3,7
ACJ,STEM,10,1,20,11,13,ACJ_STEM_10_1_201113,8.6,8.2,7
ACJ,STEM,11,1,20,11,13,ACJ_STEM_11_1_201113,8.6,8.2,7
ACJ,STEM,12,1,20,11,13,ACJ_STEM_12_1_201113,8.6,8.2,7
ACJ,STEM,13,1,20,11,13,ACJ_STEM_13_1_201113,9,9.5,7
ACJ,STEM,14,1,20,11,13,ACJ_STEM_14_1_201113,9,9.5,7
ACJ,STEM,15,1,20,11,13,ACJ_STEM_15_1_201113,10.6,9.9,7
ACJ,STEM,16,1,20,11,13,ACJ_STEM_16_1_201113,9.3,9.3,7
ACJ,STEM,17,1,20,11,13,ACJ_STEM_17_1_201113,9.1,9.3,7
ACJ,STEM,18,1,20,11,13,ACJ_STEM_18_1_201113,9.1,9.6,7
ACJ,STEM,19,1,20,11,13,ACJ_STEM_19_1_201113,8.6,8.3,7
ACJ,STEM,20,1,20,11,13,ACJ_STEM_20_1_201113,8.7,8.8,7
ACJ,STEM,21,1,20,11,13,ACJ_STEM_21_1_201113,8.7,8.9,7
ACJ,STEM,22,1,20,11,13,ACJ_STEM_22_1_201113,8.7,8.8,7
ACJ,STEM,23,1,20,11,13,ACJ_STEM_23_1_201113,8.7,8.7,7
ACJ,STEM,24,1,20,11,13,ACJ_STEM_24_1_201113,8.7,8.8,7
ACJ,STEM,25,1,20,11,13,ACJ_STEM_25_1_201113,8.7,8.7,7
ACJ,STEM,1,1,12,1,14,ACJ_STEM_1_1_120114,7.9,7.7,7
