plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,7,654,2013,6,21,1.8,0.6,,,,
PAN-02,8,657,2013,6,21,1.9,0,,,,
PAN-02,8,661,2013,6,21,1.65,NA,,,,
PAN-02,8,662,2013,6,21,1.4,0,,,,
PAN-02,8,665,2013,6,21,1.4,1.98,,,,
PAN-02,8,666,2013,6,21,1.43,NA,,,,
PAN-02,8,667,2013,6,21,1.65,NA,,,,
PAN-02,8,669,2013,6,21,1.45,NA,,,,
PAN-02,8,671,2013,6,21,1.4,0,,,,
PAN-02,8,673,2013,6,21,2,0,,,,
PAN-02,8,674,2013,6,21,1.65,NA,,,,
PAN-02,8,676,2013,6,21,1.4,0,,,,
PAN-02,8,677,2013,6,21,1.45,NA,,,,
PAN-02,8,678,2013,6,21,1.5,0,,,,
PAN-02,8,679,2013,6,21,1.6,0,,,,
PAN-02,8,685,2013,6,21,1.5,0,,,,
PAN-02,8,686,2013,6,21,1.75,0.62,,,,
PAN-02,8,689,2013,6,21,1.7,NA,,,,
PAN-02,8,691,2013,6,21,1.45,NA,,,,
PAN-02,9,687,2013,6,21,2,-1,,,,
PAN-02,9,694,2013,6,21,1.8,3.04,,,,
PAN-02,9,694,2013,6,21,1.7,NA,,,,
PAN-02,9,697,2013,6,21,,0,,,,
PAN-02,9,699,2013,6,21,2,0,,,,
PAN-02,9,701,2013,6,21,1.6,NA,,,,
PAN-02,9,705,2013,6,21,1.6,NA,,,,
PAN-02,9,706,2013,6,21,1.7,NA,,,,
PAN-02,9,708,2013,6,21,1.4,0.32,,,,
PAN-02,9,709,2013,6,21,1.52,NA,,,,
PAN-02,9,710,2013,6,21,1.55,NA,,,,
PAN-02,9,711,2013,6,21,1.6,0,,,,
PAN-02,9,712,2013,6,21,1.5,0.48,,,,
PAN-02,9,716,2013,6,21,1.6,0,,,,
PAN-02,9,717,2013,6,21,1.6,NA,,,,
PAN-02,9,718,2013,6,21,1.8,0,,,,
PAN-02,9,720,2013,6,21,1.6,0,,,,
PAN-02,9,721,2013,6,21,1.6,NA,,,,
PAN-02,9,722,2013,6,21,1.9,3.28,,,,
PAN-02,10,724,2013,6,21,1.9,0,,,,
PAN-02,10,725,2013,6,21,1.8,NA,,,,
PAN-02,10,726,2013,6,21,1.6,NA,,,,
PAN-02,10,727,2013,6,21,1.45,NA,,,,
PAN-02,10,728,2013,6,21,1.6,NA,,,,
PAN-02,10,729,2013,6,21,1.55,NA,,,,
PAN-02,10,730,2013,6,21,1.7,-0.38,,,,
PAN-02,10,731,2013,6,21,1.6,NA,,,,
PAN-02,10,732,2013,6,21,1.55,0,,,,
PAN-02,10,733,2013,6,21,1.6,0.76,,,,
PAN-02,10,734,2013,6,21,1.6,NA,,,,
PAN-02,10,736,2013,6,21,1.6,NA,,,,
PAN-02,10,737,2013,6,21,1.6,-0.42,,,,
PAN-02,10,738,2013,6,21,1.6,0,,,,
PAN-02,10,738.2.A,2013,6,21,1.65,NA,,,,
PAN-02,10,739,2013,6,21,1.6,NA,,,,
PAN-02,10,740,2013,6,21,1.85,NA,,,,
PAN-02,10,741,2013,6,21,1.57,NA,,,,
PAN-02,10,742,2013,6,21,1.8,0,,,,
PAN-02,10,743,2013,6,21,1.8,0,,,,
PAN-02,10,744,2013,6,21,1.55,0,,,,
PAN-02,10,747,2013,6,21,1.6,-0.34,,,,
PAN-02,11,748,2013,6,21,1.65,-1.54,,,,
PAN-02,11,753,2013,6,21,1.6,0,,,,
PAN-02,11,756,2013,6,21,1.5,0,,,,
PAN-02,11,757,2013,6,21,1.5,-0.84,,,,
PAN-02,11,759,2013,6,21,1.6,0,,,,
PAN-02,11,761,2013,6,21,1.55,0,,,,
PAN-02,11,765,2013,6,21,1.6,NA,,,,
PAN-02,11,766,2013,6,21,1.65,NA,,Roto,,
PAN-02,11,767,2013,6,21,1.7,0,,,,
PAN-02,11,769,2013,6,21,1.8,-0.12,,,,
PAN-02,11,769.2.A,2013,6,21,1.4,NA,,,,
PAN-02,11,770,2013,6,21,1.75,0,,,,
PAN-02,11,771-2A,2013,6,21,,,,,,
PAN-02,11,771-2B,2013,6,21,,,,,,
PAN-02,12,775,2013,6,21,1.6,0,,,,
PAN-02,12,776,2013,6,21,1.45,0.74,,,,
PAN-02,12,777,2013,6,21,1.85,NA,,,,
PAN-02,12,777.2.A,2013,6,21,1.3,NA,,,,
PAN-02,12,777.2.B,2013,6,21,1.7,NA,,,,
PAN-02,12,783,2013,6,21,1.5,3.22,,,,
PAN-02,12,784,2013,6,21,1.4,0,,,,
PAN-02,12,786,2013,6,21,1.6,NA,,,,
PAN-02,12,789,2013,6,21,1.6,0,,,,
PAN-02,12,790,2013,6,21,1.9,1.08,,,,
PAN-02,12,791,2013,6,21,1.4,-0.66,,,,
PAN-02,12,792,2013,6,21,1.55,NA,,,,
PAN-02,12,793,2013,6,21,1.5,0,,,,
PAN-02,12,794,2013,6,21,1.75,NA,,,,
PAN-02,12,795,2013,6,21,1.5,0.94,,,,
PAN-02,12,796,2013,6,21,1.6,0,,,,
PAN-02,13,799,2013,6,21,1.4,0,,,,
PAN-02,13,800,2013,6,21,1.4,0,,,,
PAN-02,13,801,2013,6,21,1.9,-0.98,,,,
PAN-02,13,802,2013,6,21,1.6,0,,,,
PAN-02,13,805,2013,6,21,1.5,-1.28,,,,
PAN-02,13,806,2013,6,21,1.5,-0.66,,,,
PAN-02,13,807,2013,6,21,1.5,-0.38,,,,
PAN-02,13,807.A,2013,6,21,1.7,NA,,,,
PAN-02,13,808,2013,6,21,1.4,-0.66,,,,
PAN-02,13,809,2013,6,21,1.8,NA,,,,
PAN-02,13,811,2013,6,21,2,0,,,,
PAN-02,13,813,2013,6,21,1.8,0,,,,
PAN-02,13,815,2013,6,21,1.45,NA,,,,
PAN-02,14,816,2013,6,21,1.5,1.45,,,,
PAN-02,14,817,2013,6,21,1.65,0,,,,
PAN-02,14,817.2.A,2013,6,21,1.55,NA,,,,
PAN-02,14,818,2013,6,21,1.65,NA,,,,
PAN-02,14,820,2013,6,21,1.4,0.58,,,,
PAN-02,14,822,2013,6,21,1.55,-0.5,,,,
PAN-02,14,823,2013,6,21,1.4,0,,,,
PAN-02,14,823.2.A,2013,6,21,1.57,NA,,,,
PAN-02,14,824,2013,6,21,1.53,NA,,,,
PAN-02,14,827,2013,6,21,1.8,0,,,,
PAN-02,14,828,2013,6,21,1.7,NA,,,,
PAN-02,14,829,2013,6,21,1.6,0,,,,
