,Tag.No,Old.No,T1,T2,X,Y,Family,genus,species,Old.Tree.Notes,D..2013.1,POM..2013.1,F1..2013.1,F2..2013.1,Height..2013.1,F5..2013.1,F3..2013.1,F4..2013.1,LI..2013.1,CI..2013.1,Census.Notes..2013.1,D..2014.2,POM..2014.2,F1,F2,Height..2014.2,F5,F3,F4,LI..2014.2,CI..2014.2,Tree.ID,D..2015.1,POM..2015.1,F1.1,F2.1,Height..2015.1,F5.1,F3.1,F4.1,LI..2015.1,CI..2015.1,Census.Notes,Tree.ID.1,New.Tag.No,D..2016.2,POM..2014.2.1,F1.2,F2.2,Height..2016.2,F5.2,F3.2,F4.2,LI..2014.2.1,CI..2014.2.1,D..2017.2,POM..2017.2,F1.3,F2.3,Height..2017.2,F5.3,F3.3,F4.3,LI..2014.2.2,CI..2014.2.2,tag,plot,DBH.1,DBH.2,DBH.3,DBH.4,DBH.5,DBH.1a,DBH.2a,DBH.3a,DBH.4a,DBH.5a,dbh_growth_yr,recruits,srink,missing,overgrown,value_replaced,,,
11,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,1.4,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,11.9,1.4,NA,NA,1.62,NA,NA,NA,NA,NA,NA,12.06414032,NA,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,NA,12.41065877,1.4,NA,NA,4.55,NA,NA,NA,NA,NA,12.87167015,NA,NA,NA,4.55,NA,NA,NA,NA,NA,48,ACJ-01,11.9,11.9,12.06414032,12.41065877,12.87167015,1.19,1.19,1.206414032,1.241065877,1.287167015,0.218531368,ok,ok,ok,ok,NA,0,0.002131692,0.004029284
12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,1.4,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,23.8,1.4,NA,NA,2.2,NA,NA,NA,NA,NA,NA,24.0229066,NA,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,24.46264054,1.4,NA,NA,6.3,NA,NA,NA,NA,NA,25.100964,NA,NA,NA,6.3,NA,NA,NA,NA,NA,50,ACJ-01,23.8,23.8,24.0229066,24.46264054,25.100964,2.38,2.38,2.40229066,2.446264054,2.5100964,0.3025819,ok,ok,ok,ok,NA,0,0.002894891,0.005113185
13,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,1.4,NA,0.540014578,-2.4,NA,NA,NA,NA,NA,NA,38.65682916,1.4,NA,NA,0.32,NA,NA,NA,NA,NA,NA,38.68925194,NA,NA,NA,-2.22,NA,NA,NA,NA,NA,NA,NA,NA,38.46431891,1.4,NA,NA,-0.4,NA,NA,NA,NA,NA,38.42379044,NA,NA,NA,-0.4,NA,NA,NA,NA,NA,57,ACJ-01,38.9,38.65682916,38.68925194,38.46431891,38.42379044,3.89,3.865682916,3.868925194,3.846431891,3.842379044,-0.019211547,ok,ok,ok,ok,NA,-0.002559693,0.000421075,-0.0026155
14,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1.45,NA,0.59980802,-2.3,NA,NA,NA,NA,NA,NA,16.76696128,1.45,NA,NA,0.63,NA,NA,NA,NA,NA,NA,16.83079362,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,16.90678451,1.45,NA,NA,11.1,NA,NA,NA,NA,NA,18.03144965,NA,NA,NA,11.1,NA,NA,NA,NA,NA,62,ACJ-01,17,16.76696128,16.83079362,16.90678451,18.03144965,1.7,1.676696128,1.683079362,1.690678451,1.803144965,0.533120488,ok,ok,ok,ok,NA,-0.002453039,0.000828991,0.000883615
15,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,1.7,NA,0.59980802,1.16,NA,NA,NA,NA,NA,NA,19.31753257,1.7,NA,NA,3.45,NA,NA,NA,NA,NA,NA,19.66709066,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,20.30541411,1.7,NA,NA,9.9,NA,NA,NA,NA,NA,21.30849383,NA,NA,NA,9.9,NA,NA,NA,NA,NA,70,ACJ-01,19.2,19.31753257,19.66709066,20.30541411,21.30849383,1.92,1.931753257,1.966709066,2.030541411,2.130849383,0.475485841,ok,ok,ok,ok,NA,0.001237185,0.004539715,0.007422366
16,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,1.35,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,21.9,1.35,NA,NA,0.78,NA,NA,NA,NA,NA,NA,21.97903052,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,22.30325831,1.35,NA,NA,3.8,NA,NA,NA,NA,NA,22.68827881,NA,NA,NA,3.8,NA,NA,NA,NA,NA,75,ACJ-01,21.9,21.9,21.97903052,22.30325831,22.68827881,2.19,2.19,2.197903052,2.230325831,2.268827881,0.182509718,ok,ok,ok,ok,NA,0,0.00102637,0.003770091
17,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,1.4,NA,0.59980802,-1,NA,NA,NA,NA,NA,NA,11.79867882,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,11.79867882,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,12.10264237,1.4,NA,NA,4.1,NA,NA,NA,NA,NA,12.51805922,NA,NA,NA,4.1,NA,NA,NA,NA,NA,85,ACJ-01,11.9,11.79867882,11.79867882,12.10264237,12.51805922,1.19,1.179867882,1.179867882,1.210264237,1.251805922,0.196918377,ok,ok,ok,ok,NA,-0.001066539,0,0.00353446
18,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1.35,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,27,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,27.25330296,1.35,NA,NA,3.3,NA,NA,NA,NA,NA,27.58766287,NA,NA,NA,3.3,NA,NA,NA,NA,NA,86,ACJ-01,27,27,27,27.25330296,27.58766287,2.7,2.7,2.7,2.725330296,2.758766287,0.158495282,ok,ok,ok,ok,NA,0,0,0.002945383
19,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,1.4,NA,0.651873955,0,NA,NA,NA,NA,NA,NA,26.7,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,26.7,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,26.88035171,1.4,NA,NA,2.4,NA,NA,NA,NA,NA,27.12352255,NA,NA,NA,2.4,NA,NA,NA,NA,NA,95,ACJ-01,26.7,26.7,26.7,26.88035171,27.12352255,2.67,2.67,2.67,2.688035171,2.712352255,0.115269294,ok,ok,ok,ok,NA,0,0,0.002097113
20,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,1.4,NA,0.59980802,0,NA,NA,NA,NA,NA,NA,21.1,1.4,NA,NA,0.3,NA,NA,NA,NA,NA,NA,21.13039636,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,21.69779498,1.4,NA,NA,11.8,NA,NA,NA,NA,NA,22.89338495,NA,NA,NA,11.8,NA,NA,NA,NA,NA,97,ACJ-01,21.1,21.1,21.13039636,21.69779498,22.89338495,2.11,2.11,2.113039636,2.169779498,2.289338495,0.5667407,ok,ok,ok,ok,NA,0,0.000394758,0.006597658
