,Tag.No,Old.No,T1,T2,X,Y,Family,genus,species,Old.Tree.Notes,D..2013.1,POM..2013.1,F1..2013.1,F2..2013.1,Height..2013.1,F5..2013.1,F3..2013.1,F4..2013.1,LI..2013.1,CI..2013.1,Census.Notes..2013.1,D..2014.2,POM..2014.2,F1,F2,Height..2014.2,F5,F3,F4,LI..2014.2,CI..2014.2,Tree.ID,D..2015.1,POM..2015.1,F1.1,F2.1,Height..2015.1,F5.1,F3.1,F4.1,LI..2015.1,CI..2015.1,Census.Notes,Tree.ID.1,New.Tag.No,D..2016.2,POM..2014.2.1,F1.2,F2.2,Height..2016.2,F5.2,F3.2,F4.2,LI..2014.2.1,CI..2014.2.1,D..2017.2,POM..2017.2,F1.3,F2.3,Height..2017.2,F5.3,F3.3,F4.3,LI..2014.2.2,CI..2014.2.2,tag,plot,DBH.1,DBH.2,DBH.3,DBH.4,DBH.5,DBH.1a,DBH.2a,DBH.3a,DBH.4a,DBH.5a,dbh_growth_yr,recruits,srink,missing,overgrown,value_replaced,,,
31,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,1.4,NA,0.574563977,-1.3,NA,NA,NA,NA,NA,NA,15.56828246,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,15.56828246,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15.56828246,1.4,NA,NA,0,NA,NA,NA,NA,NA,15.56828246,NA,NA,NA,0,NA,NA,NA,NA,NA,136,ACJ-01,15.7,15.56828246,15.56828246,15.56828246,15.56828246,1.57,1.556828246,1.556828246,1.556828246,1.556828246,0,ok,ok,ok,ok,NA,-0.0013865,0,0
32,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,1.4,NA,0.639235707,-2.8,NA,NA,NA,NA,NA,NA,33.61630069,1.4,NA,NA,-2.68,NA,NA,NA,NA,NA,NA,33.34475991,NA,NA,NA,-3.14,NA,NA,NA,NA,NA,NA,NA,NA,33.0266114,1.4,NA,NA,-3.5,NA,NA,NA,NA,NA,32.67198725,NA,NA,NA,-3.5,NA,NA,NA,NA,NA,137,ACJ-01,33.9,33.61630069,33.34475991,33.0266114,32.67198725,3.39,3.361630069,3.334475991,3.30266114,3.267198725,-0.168101058,ok,ok,ok,ok,NA,-0.002986309,-0.003526504,-0.003699401
33,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1.45,NA,0.59980802,-0.9,NA,NA,NA,NA,NA,NA,10.90881093,1.45,NA,NA,0,NA,NA,NA,NA,NA,NA,10.90881093,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,11,1.45,NA,NA,2.05,NA,NA,NA,NA,NA,11.20770843,NA,NA,NA,2.05,NA,NA,NA,NA,NA,143,ACJ-01,11,10.90881093,10.90881093,11,11.20770843,1.1,1.090881093,1.090881093,1.1,1.120770843,0.098459191,ok,ok,ok,ok,NA,-0.000959885,0,0.001060338
34,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1.4,NA,0.639235707,-0.9,NA,NA,NA,NA,NA,NA,16.90881093,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,16.90881093,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16.90881093,1.4,NA,NA,0,NA,NA,NA,NA,NA,16.90881093,NA,NA,NA,0,NA,NA,NA,NA,NA,144,ACJ-01,17,16.90881093,16.90881093,16.90881093,16.90881093,1.7,1.690881093,1.690881093,1.690881093,1.690881093,0,ok,ok,ok,ok,NA,-0.000959885,0,0
35,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,1.4,NA,0.574563977,-1.6,NA,NA,NA,NA,NA,NA,22.73788611,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,22.73788611,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,22.73788611,1.4,NA,NA,-1.46,NA,NA,NA,NA,NA,22.58995718,NA,NA,NA,-1.46,NA,NA,NA,NA,NA,155,ACJ-01,22.9,22.73788611,22.73788611,22.73788611,22.58995718,2.29,2.273788611,2.273788611,2.273788611,2.258995718,-0.070122155,ok,ok,ok,ok,NA,-0.001706462,0,0
36,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,1.4,NA,0.59980802,-0.9,NA,NA,NA,NA,NA,NA,19.10881093,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,19.10881093,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.10881093,1.4,NA,NA,0,NA,NA,NA,NA,NA,19.10881093,NA,NA,NA,0,NA,NA,NA,NA,NA,158,ACJ-01,19.2,19.10881093,19.10881093,19.10881093,19.10881093,1.92,1.910881093,1.910881093,1.910881093,1.910881093,0,ok,ok,ok,ok,NA,-0.000959885,0,0
37,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,1.4,NA,0.59980802,0,NA,NA,NA,NA,NA,NA,17.8,1.4,NA,NA,1.52,NA,NA,NA,NA,NA,NA,17.9540082,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,18.30863234,1.4,NA,NA,5.66,NA,NA,NA,NA,NA,18.88211024,NA,NA,NA,5.66,NA,NA,NA,NA,NA,159,ACJ-01,17.8,17.8,17.9540082,18.30863234,18.88211024,1.78,1.78,1.79540082,1.830863234,1.888211024,0.27184342,ok,ok,ok,ok,NA,0,0.002000106,0.004123537
38,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,1.35,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,17.2,1.35,NA,NA,1.58,NA,NA,NA,NA,NA,NA,17.36008747,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,17.79576856,1.35,NA,NA,7.15,NA,NA,NA,NA,NA,18.52021502,NA,NA,NA,7.15,NA,NA,NA,NA,NA,162,ACJ-01,17.2,17.2,17.36008747,17.79576856,18.52021502,1.72,1.72,1.736008747,1.779576856,1.852021502,0.343406439,ok,ok,ok,ok,NA,0,0.002079058,0.005066059
39,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,1.4,NA,0.59980802,2.95,NA,NA,NA,NA,NA,NA,31.09889749,1.4,NA,NA,6.05,NA,NA,NA,NA,NA,NA,31.71189065,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,32.75549884,1.4,NA,NA,14.2,NA,NA,NA,NA,NA,34.19425965,NA,NA,NA,14.2,NA,NA,NA,NA,NA,163,ACJ-01,30.8,31.09889749,31.71189065,32.75549884,34.19425965,3.08,3.109889749,3.171189065,3.275549884,3.419425965,0.682009994,ok,ok,ok,ok,NA,0.003146289,0.00796095,0.012134979
40,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,1.35,NA,0.59980802,-0.6,NA,NA,NA,NA,NA,NA,31.33920729,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,31.33920729,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,31.45370023,1.35,NA,NA,1.6,NA,NA,NA,NA,NA,31.61581412,NA,NA,NA,1.6,NA,NA,NA,NA,NA,168,ACJ-01,31.4,31.33920729,31.33920729,31.45370023,31.61581412,3.14,3.133920729,3.133920729,3.145370023,3.161581412,0.076846195,ok,ok,ok,ok,NA,-0.000639923,0,0.001331313
41,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,1.4,NA,0.430781928,5,NA,NA,NA,NA,NA,NA,17.40660592,1.4,NA,NA,7.16,NA,NA,NA,NA,NA,NA,18.13206559,NA,NA,NA,13.25,NA,NA,NA,NA,NA,NA,NA,NA,19.47457128,1.4,NA,NA,23.85,NA,NA,NA,NA,NA,21.89108151,NA,NA,NA,23.85,NA,NA,NA,NA,NA,184,ACJ-01,16.9,17.40660592,18.13206559,19.47457128,21.89108151,1.69,1.740660592,1.813206559,1.947457128,2.189108151,1.145488616,ok,ok,ok,ok,NA,0.005332694,0.009421554,0.015610531
42,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,1.4,NA,0.59980802,1.8,NA,NA,NA,NA,NA,NA,29.38237813,1.4,NA,NA,3.67,NA,NA,NA,NA,NA,NA,29.75422687,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,30.41281457,1.4,NA,NA,8.85,NA,NA,NA,NA,NA,31.30950704,NA,NA,NA,8.85,NA,NA,NA,NA,NA,191,ACJ-01,29.2,29.38237813,29.75422687,30.41281457,31.30950704,2.92,2.938237813,2.975422687,3.041281457,3.130950704,0.425055521,ok,ok,ok,ok,NA,0.00191977,0.004829204,0.007657997
43,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,1.4,NA,0.639235707,0,NA,NA,NA,NA,NA,NA,15.3,1.4,NA,NA,1.24,NA,NA,NA,NA,NA,NA,15.42563827,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,15.63841275,1.4,NA,NA,2.4,NA,NA,NA,NA,NA,15.88158359,NA,NA,NA,2.4,NA,NA,NA,NA,NA,194,ACJ-01,15.3,15.3,15.42563827,15.63841275,15.88158359,1.53,1.53,1.542563827,1.563841275,1.588158359,0.115269294,ok,ok,ok,ok,NA,0,0.001631666,0.002474122
44,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,1.4,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,19.5,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.5,1.4,NA,NA,1.25,NA,NA,NA,NA,NA,19.62665148,NA,NA,NA,1.25,NA,NA,NA,NA,NA,199,ACJ-01,19.5,19.5,19.5,19.5,19.62665148,1.95,1.95,1.95,1.95,1.962665148,0.060036091,ok,ok,ok,ok,NA,0,0,0
45,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,1.5,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,19.3,1.5,NA,NA,0,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,19.32026424,1.5,NA,NA,1.85,NA,NA,NA,NA,NA,19.50770843,NA,NA,NA,1.85,NA,NA,NA,NA,NA,200,ACJ-01,19.3,19.3,19.3,19.32026424,19.50770843,1.93,1.93,1.93,1.932026424,1.950770843,0.088853415,ok,ok,ok,ok,NA,0,0,0.000235631
46,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,1.4,NA,0.639235707,-0.3,NA,NA,NA,NA,NA,NA,19.26960364,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,19.26960364,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.26960364,1.4,NA,NA,0,NA,NA,NA,NA,NA,19.26960364,NA,NA,NA,0,NA,NA,NA,NA,NA,211,ACJ-01,19.3,19.26960364,19.26960364,19.26960364,19.26960364,1.93,1.926960364,1.926960364,1.926960364,1.926960364,0,ok,ok,ok,ok,NA,-0.000319962,0,0
47,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,1.4,NA,0.59980802,0.9,NA,NA,NA,NA,NA,NA,15.89118907,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,15.89118907,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,16.0735672,1.4,NA,NA,2.5,NA,NA,NA,NA,NA,16.32687015,NA,NA,NA,2.5,NA,NA,NA,NA,NA,215,ACJ-01,15.8,15.89118907,15.89118907,16.0735672,16.32687015,1.58,1.589118907,1.589118907,1.60735672,1.632687015,0.120072178,ok,ok,ok,ok,NA,0.000959885,0,0.002120676
48,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,1.4,NA,0.574563977,-1,NA,NA,NA,NA,NA,NA,20.19867882,1.4,NA,NA,-1.38,NA,NA,NA,NA,NA,NA,20.05885558,NA,NA,NA,-1.92,NA,NA,NA,NA,NA,NA,NA,NA,19.86431891,1.4,NA,NA,0,NA,NA,NA,NA,NA,19.86431891,NA,NA,NA,0,NA,NA,NA,NA,NA,229,ACJ-01,20.3,20.19867882,20.05885558,19.86431891,19.86431891,2.03,2.019867882,2.005885558,1.986431891,1.986431891,0,ok,ok,ok,ok,NA,-0.001066539,-0.001815886,-0.002262054
49,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,1.4,NA,0.540014578,2.9,NA,NA,NA,NA,NA,NA,15.99383143,1.4,NA,NA,5.9,NA,NA,NA,NA,NA,NA,16.59162642,NA,NA,NA,6.65,NA,NA,NA,NA,NA,NA,NA,NA,17.26541229,1.4,NA,NA,8.45,NA,NA,NA,NA,NA,18.12157629,NA,NA,NA,8.45,NA,NA,NA,NA,NA,232,ACJ-01,15.7,15.99383143,16.59162642,17.26541229,18.12157629,1.57,1.599383143,1.659162642,1.726541229,1.812157629,0.405843974,ok,ok,ok,ok,NA,0.003092962,0.007763571,0.007834719
50,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,1.35,NA,0.540014578,0,NA,NA,NA,NA,NA,NA,17.8,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,17.92158542,1.35,NA,NA,-2.04,NA,NA,NA,NA,NA,17.71489021,NA,NA,NA,-2.04,NA,NA,NA,NA,NA,239,ACJ-01,17.8,17.8,17.8,17.92158542,17.71489021,1.78,1.78,1.78,1.792158542,1.771489021,-0.097978898,ok,ok,ok,ok,NA,0,0,0.001413784
51,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,1.5,NA,0.574563977,-0.7,NA,NA,NA,NA,NA,NA,22.02907517,1.5,NA,NA,0,NA,NA,NA,NA,NA,NA,22.02907517,NA,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,21.85682916,1.5,NA,NA,-1.02,NA,NA,NA,NA,NA,21.75348155,NA,NA,NA,-1.02,NA,NA,NA,NA,NA,240,ACJ-01,22.1,22.02907517,22.02907517,21.85682916,21.75348155,2.21,2.202907517,2.202907517,2.185682916,2.175348155,-0.048989451,ok,ok,ok,ok,NA,-0.000746577,0,-0.002002861
52,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,1.4,NA,0.59980802,NA,NA,NA,NA,NA,NA,NA,#¡VALOR!,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,#¡VALOR!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#¡VALOR!,1.4,NA,NA,NA,NA,NA,NA,NA,NA,#¡VALOR!,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,ACJ-01,11.6,#¡VALOR!,#¡VALOR!,#¡VALOR!,#¡VALOR!,1.16,NA,NA,NA,NA,NA,ok,ok,ok,ok,NA,#¡VALOR!,#¡VALOR!,#¡VALOR!
53,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,1.4,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,10.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10.1,1.4,NA,NA,0.86,NA,NA,NA,NA,NA,10.18713622,NA,NA,NA,0.86,NA,NA,NA,NA,NA,249,ACJ-01,10.1,10.1,10.1,10.1,10.18713622,1.01,1.01,1.01,1.01,1.018713622,0.041304832,ok,ok,ok,ok,NA,0,0,0
54,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,0.59980802,0,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,NA,1.44,NA,NA,NA,NA,NA,13.5459025,NA,NA,NA,1.44,NA,NA,NA,NA,NA,255,ACJ-01,13.4,13.4,13.4,13.4,13.5459025,1.34,1.34,1.34,1.34,1.35459025,0.069161575,ok,ok,ok,ok,NA,0,0,0
55,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,1.4,NA,0.639235707,-1.38,NA,NA,NA,NA,NA,NA,13.16017677,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.16017677,NA,NA,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,NA,13.02035353,1.4,NA,NA,-2.44,NA,NA,NA,NA,NA,12.77312985,NA,NA,NA,-2.44,NA,NA,NA,NA,NA,261,ACJ-01,13.3,13.16017677,13.16017677,13.02035353,12.77312985,1.33,1.316017677,1.316017677,1.302035353,1.277312985,-0.117190446,ok,ok,ok,ok,NA,-0.001471823,0,-0.001625852
56,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,1.35,NA,0.59980802,7.78,NA,NA,NA,NA,NA,NA,14.38827881,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.38827881,NA,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,NA,15.17655762,1.35,NA,NA,7.76,NA,NA,NA,NA,NA,15.96281,NA,NA,NA,7.76,NA,NA,NA,NA,NA,273,ACJ-01,13.6,14.38827881,14.38827881,15.17655762,15.96281,1.36,1.438827881,1.438827881,1.517655762,1.596281,0.37270405,ok,ok,ok,ok,NA,0.008297672,0,0.009166033
57,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,1.35,NA,0.540014578,9.65,NA,NA,NA,NA,NA,NA,19.07774942,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.07774942,NA,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,NA,20.05549884,1.35,NA,NA,14.7,NA,NA,NA,NA,NA,21.54492024,NA,NA,NA,14.7,NA,NA,NA,NA,NA,277,ACJ-01,18.1,19.07774942,19.07774942,20.05549884,21.54492024,1.81,1.907774942,1.907774942,2.005549884,2.154492024,0.70602443,ok,ok,ok,ok,NA,0.010292099,0,0.011369179
58,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,1.4,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,10.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10.8,1.4,NA,NA,0,NA,NA,NA,NA,NA,10.8,NA,NA,NA,0,NA,NA,NA,NA,NA,286,ACJ-01,10.8,10.8,10.8,10.8,10.8,1.08,1.08,1.08,1.08,1.08,0,ok,ok,ok,ok,NA,0,0,0
59,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,1.4,NA,0.540014578,1.8,NA,NA,NA,NA,NA,NA,42.78237813,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.78237813,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,42.96475626,1.4,NA,NA,3.5,NA,NA,NA,NA,NA,43.3193804,NA,NA,NA,3.5,NA,NA,NA,NA,NA,300,ACJ-01,42.6,42.78237813,42.78237813,42.96475626,43.3193804,4.26,4.278237813,4.278237813,4.296475626,4.33193804,0.168101053,ok,ok,ok,ok,NA,0.00191977,0,0.002120676
60,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,1.4,NA,0.540014578,-1,NA,NA,NA,NA,NA,NA,18.09867882,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.09867882,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,17.99735763,1.4,NA,NA,-0.65,NA,NA,NA,NA,NA,17.93149886,NA,NA,NA,-0.65,NA,NA,NA,NA,NA,301,ACJ-01,18.2,18.09867882,18.09867882,17.99735763,17.93149886,1.82,1.809867882,1.809867882,1.799735763,1.793149886,-0.031218768,ok,ok,ok,ok,NA,-0.001066539,0,-0.001178153
61,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,1.4,NA,0.59980802,3.6,NA,NA,NA,NA,NA,NA,11.56475626,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.56475626,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,11.92951252,1.4,NA,NA,4.8,NA,NA,NA,NA,NA,12.4158542,NA,NA,NA,4.8,NA,NA,NA,NA,NA,302,ACJ-01,11.2,11.56475626,11.56475626,11.92951252,12.4158542,1.12,1.156475626,1.156475626,1.192951252,1.24158542,0.230538589,ok,ok,ok,ok,NA,0.00383954,0,0.004241352
62,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,1.4,NA,0.532941853,-3.2,NA,NA,NA,NA,NA,NA,12.27577221,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.27577221,NA,NA,NA,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,11.95154442,1.4,NA,NA,-2.56,NA,NA,NA,NA,NA,11.69216219,NA,NA,NA,-2.56,NA,NA,NA,NA,NA,305,ACJ-01,12.6,12.27577221,12.27577221,11.95154442,11.69216219,1.26,1.227577221,1.227577221,1.195154442,1.169216219,-0.122953914,ok,ok,ok,ok,NA,-0.003412924,0,-0.003770091
63,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,1.4,NA,0.59980802,3.12,NA,NA,NA,NA,NA,NA,14.21612209,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.21612209,NA,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,NA,14.53224419,1.4,NA,NA,1.8,NA,NA,NA,NA,NA,14.71462232,NA,NA,NA,1.8,NA,NA,NA,NA,NA,306,ACJ-01,13.9,14.21612209,14.21612209,14.53224419,14.71462232,1.39,1.421612209,1.421612209,1.453224419,1.471462232,0.086451971,ok,ok,ok,ok,NA,0.003327601,0,0.003675838
64,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,1.5,NA,0.59980802,-1.68,NA,NA,NA,NA,NA,NA,15.32978041,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.32978041,NA,NA,NA,-1.68,NA,NA,NA,NA,NA,NA,NA,NA,15.15956082,1.5,NA,NA,-1.16,NA,NA,NA,NA,NA,15.04202825,NA,NA,NA,-1.16,NA,NA,NA,NA,NA,307,ACJ-01,15.5,15.32978041,15.32978041,15.15956082,15.04202825,1.55,1.532978041,1.532978041,1.515956082,1.504202825,-0.055713491,ok,ok,ok,ok,NA,-0.001791785,0,-0.001979298
65,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,1.4,NA,0.574563977,2,NA,NA,NA,NA,NA,NA,10.50264237,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.50264237,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,10.70528473,1.4,NA,NA,3.08,NA,NA,NA,NA,NA,11.01735398,NA,NA,NA,3.08,NA,NA,NA,NA,NA,310,ACJ-01,10.3,10.50264237,10.50264237,10.70528473,11.01735398,1.03,1.050264237,1.050264237,1.070528473,1.101735398,0.14792893,ok,ok,ok,ok,NA,0.002133078,0,0.002356307
66,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,1.35,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,22.5,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,22.5,1.35,NA,NA,1.62,NA,NA,NA,NA,NA,22.66414032,NA,NA,NA,1.62,NA,NA,NA,NA,NA,317,ACJ-01,22.5,22.5,22.5,22.5,22.66414032,2.25,2.25,2.25,2.25,2.266414032,0.077806775,ok,ok,ok,ok,NA,0,0,0
67,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,1.4,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,13.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.8,1.4,NA,NA,0,NA,NA,NA,NA,NA,13.8,NA,NA,NA,0,NA,NA,NA,NA,NA,319,ACJ-01,13.8,13.8,13.8,13.8,13.8,1.38,1.38,1.38,1.38,1.38,0,ok,ok,ok,ok,NA,0,0,0
68,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,1.35,NA,0.59980802,1.3,NA,NA,NA,NA,NA,NA,18.23171754,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.23171754,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,18.36343508,1.35,NA,NA,2.36,NA,NA,NA,NA,NA,18.60255307,NA,NA,NA,2.36,NA,NA,NA,NA,NA,320,ACJ-01,18.1,18.23171754,18.23171754,18.36343508,18.60255307,1.81,1.823171754,1.823171754,1.836343508,1.860255307,0.113348138,ok,ok,ok,ok,NA,0.0013865,0,0.001531599
69,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.35,NA,0.59980802,0,NA,NA,NA,NA,NA,NA,19,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19,1.35,NA,NA,1.16,NA,NA,NA,NA,NA,19.11753257,NA,NA,NA,1.16,NA,NA,NA,NA,NA,324,ACJ-01,19,19,19,19,19.11753257,1.9,1.9,1.9,1.9,1.911753257,0.055713491,ok,ok,ok,ok,NA,0,0,0
70,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,1.45,NA,0.59980802,-2.1,NA,NA,NA,NA,NA,NA,19.68722551,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.68722551,NA,NA,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,19.47445103,1.45,NA,NA,-1.84,NA,NA,NA,NA,NA,19.28802005,NA,NA,NA,-1.84,NA,NA,NA,NA,NA,330,ACJ-01,19.9,19.68722551,19.68722551,19.47445103,19.28802005,1.99,1.968722551,1.968722551,1.947445103,1.928802005,-0.088373127,ok,ok,ok,ok,NA,-0.002239731,0,-0.002474122
71,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,1.4,NA,0.540014578,3.21,NA,NA,NA,NA,NA,NA,19.725241,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.725241,NA,NA,NA,3.21,NA,NA,NA,NA,NA,NA,NA,NA,20.050482,1.4,NA,NA,4.76,NA,NA,NA,NA,NA,20.53277083,NA,NA,NA,4.76,NA,NA,NA,NA,NA,334,ACJ-01,19.4,19.725241,19.725241,20.050482,20.53277083,1.94,1.9725241,1.9725241,2.0050482,2.053277083,0.228617432,ok,ok,ok,ok,NA,0.003423589,0,0.003781872
72,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,1.4,NA,0.59980802,-3.49,NA,NA,NA,NA,NA,NA,22.24638907,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.24638907,NA,NA,NA,-3.49,NA,NA,NA,NA,NA,NA,NA,NA,21.89277814,1.4,NA,NA,-2.54,NA,NA,NA,NA,NA,21.63542233,NA,NA,NA,-2.54,NA,NA,NA,NA,NA,335,ACJ-01,22.6,22.24638907,22.24638907,21.89277814,21.63542233,2.26,2.224638907,2.224638907,2.189277814,2.163542233,-0.121993339,ok,ok,ok,ok,NA,-0.00372222,0,-0.004111755
73,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,0.574563977,0,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.4,1.4,NA,NA,0,NA,NA,NA,NA,NA,13.4,NA,NA,NA,0,NA,NA,NA,NA,NA,342,ACJ-01,13.4,13.4,13.4,13.4,13.4,1.34,1.34,1.34,1.34,1.34,0,ok,ok,ok,ok,NA,0,0,0
