plot_code,measurement_code,sub_plot,replica,day,month,year,soil_temp,air_temp,collar_depth
TU4,STEM,19,1,11,1,14,13.1,13.3,7
TU4,STEM,20,1,11,1,14,13.2,13.4,7
TU4,STEM,21,1,11,1,14,13.1,13.3,7
TU4,STEM,22,1,11,1,14,13.1,12.9,7
TU4,STEM,23,1,11,1,14,12.9,12.9,7
TU4,STEM,24,1,11,1,14,12.5,12.8,7
TU4,STEM,25,1,11,1,14,12.9,12.8,7
TU4,STEM,1,1,14,3,14,13.4,14.9,7
TU4,STEM,2,1,14,3,14,13.6,13.9,7
TU4,STEM,3,1,14,3,14,13.6,13.9,7
TU4,STEM,4,1,14,3,14,13.8,14.3,7
TU4,STEM,5,1,14,3,14,13.8,13.5,7
TU4,STEM,6,1,14,3,14,14.3,16,7
TU4,STEM,7,1,14,3,14,15,15.4,7
TU4,STEM,8,1,14,3,14,15,15.4,7
TU4,STEM,9,1,14,3,14,15.2,15.5,7
TU4,STEM,10,1,14,3,14,15.3,15.5,7
TU4,STEM,11,1,14,3,14,15.6,17.9,7
TU4,STEM,12,1,14,3,14,NA,NA,7
TU4,STEM,13,1,14,3,14,15.4,16.6,7
TU4,STEM,14,1,14,3,14,15.1,16,7
TU4,STEM,15,1,14,3,14,14,15.3,7
TU4,STEM,16,1,14,3,14,15.1,15.2,7
TU4,STEM,17,1,14,3,14,13.9,15.1,7
TU4,STEM,18,1,14,3,14,14.1,15.1,7
TU4,STEM,19,1,12,3,14,13.8,15,7
TU4,STEM,20,1,12,3,14,13.8,14.9,7
TU4,STEM,21,1,12,3,14,14.9,14.5,7
TU4,STEM,22,1,12,3,14,14.3,14.5,7
TU4,STEM,23,1,12,3,14,14.3,14.5,7
TU4,STEM,24,1,12,3,14,14.3,14.3,7
TU4,STEM,25,1,12,3,14,14.3,14.3,7
