plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
PAN-03,2013,4,6,10,y,NaN,NaN,NaN,NaN,30,1,10,NaN,4.91,NaN,6.49,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,10,y,NaN,NaN,NaN,NaN,30,2,10,NaN,1.75,NaN,1.08,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,10,y,NaN,NaN,NaN,NaN,30,3,10,NaN,1.09,NaN,1.31,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,10,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,11,y,NaN,NaN,NaN,NaN,30,1,10,NaN,4.78,NaN,1.66,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,11,y,NaN,NaN,NaN,NaN,30,2,10,NaN,3.69,NaN,1.73,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,11,y,NaN,NaN,NaN,NaN,30,3,10,NaN,1.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,11,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,12,y,NaN,NaN,NaN,NaN,30,1,10,NaN,5.13,NaN,12.24,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,12,y,NaN,NaN,NaN,NaN,30,2,10,NaN,2.15,NaN,3.32,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,12,y,NaN,NaN,NaN,NaN,30,3,10,NaN,1.17,NaN,1.59,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,12,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.57,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,13,y,NaN,NaN,NaN,NaN,30,1,10,NaN,3.76,NaN,0.72,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,13,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.62,NaN,0.74,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,13,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.74,NaN,1.96,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,13,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.35,NaN,0.35,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,14,y,NaN,NaN,NaN,NaN,30,1,10,NaN,5.87,NaN,6.35,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,14,y,NaN,NaN,NaN,NaN,30,2,10,NaN,3.58,NaN,0.39,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,14,y,NaN,NaN,NaN,NaN,30,3,10,NaN,1.43,NaN,0.94,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,14,y,NaN,NaN,NaN,NaN,30,4,10,NaN,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,15,y,NaN,NaN,NaN,NaN,30,1,10,NaN,5.25,NaN,4.05,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,15,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.99,NaN,0.66,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,15,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.61,NaN,0.26,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,15,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,16,y,NaN,NaN,NaN,NaN,30,1,10,NaN,0.83,NaN,1.1,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,16,y,NaN,NaN,NaN,NaN,30,2,10,NaN,0.21,NaN,0.07,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,16,y,NaN,NaN,NaN,NaN,30,3,10,NaN,0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
PAN-03,2013,4,6,16,y,NaN,NaN,NaN,NaN,30,4,10,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,stock
