Plot,TypeMeas,Subplot,Meas,DD,MM,YY,Id,Subplot,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,13,30,10,14,20,461,0,0,0,0,0,21,57,0.3,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,14,30,10,14,20,462,0,0,0,0,0,23,62,0.3,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,15,30,10,14,20,464,0,0,0,0,0,24,67,0.29,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,16,30,10,14,20,465,0,0,0,0,0,25,72,0.29,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,17,30,10,14,20,467,0,0,0,0,0,27,76,0.28,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,18,30,10,14,20,468,0,0,0,0,0,28,81,0.28,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,19,30,10,14,20,470,0,0,0,0,0,30,86,0.28,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,20,30,10,14,20,471,0,0,0,0,0,31,91,0.28,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,21,30,10,14,20,473,0,0,0,0,0,32,96,0.27,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,22,30,10,14,20,474,0,0,0,0,0,34,100,0.27,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,23,30,10,14,21,476,0,0,0,0,0,35,105,0.27,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,24,30,10,14,21,478,0,0,0,0,0,37,110,0.27,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,25,30,10,14,21,478,0,0,0,0,0,38,115,0.27,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,26,30,10,14,21,480,0,0,0,0,0,39,120,0.26,0,0,856,8,
SPI,TOT,1,2,30,10,11,SPI_TOT_1_2_301011,1,2,2,27,30,10,14,21,481,0,0,0,0,0,41,124,0.26,0,0,856,8,a
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,1,30,10,14,26,458,0,0,0,0,0,0,0,0,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,2,30,10,14,26,459,0,0,0,0,0,0,4,0,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,3,30,10,14,26,461,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,4,30,10,14,26,463,0,0,0,0,0,5,14,0.29,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,5,30,10,14,26,464,0,0,0,0,0,6,19,0.28,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,6,30,10,14,26,466,0,0,0,0,0,7,24,0.27,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,7,30,10,14,26,467,0,0,0,0,0,9,28,0.26,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,8,30,10,14,26,470,0,0,0,0,0,11,33,0.27,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,9,30,10,14,27,472,0,0,0,0,0,13,38,0.28,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,10,30,10,14,27,474,0,0,0,0,0,15,43,0.3,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,11,30,10,14,27,477,0,0,0,0,0,18,48,0.31,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,12,30,10,14,27,480,0,0,0,0,0,21,52,0.32,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,13,30,10,14,27,483,0,0,0,0,0,24,57,0.34,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,14,30,10,14,27,485,0,0,0,0,0,27,62,0.35,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,15,30,10,14,27,488,0,0,0,0,0,30,67,0.36,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,16,30,10,14,27,491,0,0,0,0,0,33,72,0.37,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,17,30,10,14,27,494,0,0,0,0,0,36,76,0.38,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,18,30,10,14,27,497,0,0,0,0,0,39,81,0.39,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,19,30,10,14,27,499,0,0,0,0,0,42,86,0.39,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,20,30,10,14,27,502,0,0,0,0,0,45,91,0.4,0,0,854,8,
