"","plot_code","sub_plot","tree_tag","year","month","day","pom_height","dbh_first_year","dbh_first_year_cm","dendrometer_reading_mm","comments","forma_tronco","igual_DAP","apertura","X","X_1","X_2","X_3","X_4","density","height_m","dbh","cenyear","cenmonth","cenday"
"40","ESP-01",1,12,2010,5,1,NA,NA,13.9,"6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"41","ESP-01",1,12,2010,7,21,NA,NA,13.9,"7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"42","ESP-01",1,12,2010,7,21,NA,NA,13.9,"7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"43","ESP-01",1,12,2010,10,13,NA,NA,13.9,"7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"44","ESP-01",1,12,2011,1,31,NA,NA,13.9,"8.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"45","ESP-01",1,12,2011,4,29,NA,NA,13.9,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"46","ESP-01",1,12,2011,7,11,NA,NA,13.9,"11.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"47","ESP-01",1,12,2011,10,25,NA,NA,13.9,"14.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"48","ESP-01",1,12,2012,5,2,NA,NA,13.9,"16.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,12,13.3,2006,7,4
"49","ESP-01",1,20,2009,8,19,NA,NA,30.5,"4.9",NA,"o","igual","1.7",NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"50","ESP-01",1,20,2009,11,25,NA,NA,30.5,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"51","ESP-01",1,20,2010,1,26,NA,NA,30.5,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"52","ESP-01",1,20,2010,5,1,NA,NA,30.5,"21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"53","ESP-01",1,20,2010,7,21,NA,NA,30.5,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"54","ESP-01",1,20,2010,7,21,NA,NA,30.5,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"55","ESP-01",1,20,2010,10,13,NA,NA,30.5,"30.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"56","ESP-01",1,20,2011,1,31,NA,NA,30.5,"38.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"57","ESP-01",1,20,2011,4,29,NA,NA,30.5,"42.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
