Tag No,Old No,T1,T2,X,Y,family,genus,species,Old Tree Notes,"D 
2013.2","POM 
2013.2","F1 
2013.2","F2 
2013.2","Height 
2013.2","F5 
2013.2","F3 
2013.2","F4 
2013.2","LI 
2013.2","CI 
2013.2","Census Notes 
2013.2","D 
2014.2","POM 
2014.2",F1,F2,"Height 
2014.2",F5,F3,F4,"LI 
2014.2","CI 
2014.2","Census Notes 
2014.2",Tree ID,"D 
2015.2","POM 
2015.2",F1,F2,"Height 
2015.2",F5,F3,F4,"LI 
2015.2","CI 
2015.2",Census Notes,Tree ID,New Tag No
448,,17,,,,Elaeocarpaceae,Sloanea,guianensis,,189,2400,a,1,13,4,0,0,,,,193,2400,a,1,14,4,0,0,,,,1108042,196,2400,a,1,18000,1,0,0,0,2b,,1108040,
449,,17,,,,Indet,Indet,indet,,493,2000,a,1,20,4,0,0,,,,493,2000,a,1,20,4,0,0,,,,1108043,494,2000,a,1,23000,1,0,0,0,5,,1108042,
450,,17,,,,Elaeocarpaceae,Sloanea,sinemariensis,,119,2150,a,1,11,4,0,0,,,,119,2150,e,1,12,4,0,0,,,,1108044,120,2150,m,1,16000,1,0,0,3,2c,,1108060,
451,,17,,,,Rubiaceae,Faramea,torquata,,153,1500,a,1,11,4,0,0,,,,153,1500,a,1,12,4,0,0,,,,1108045,153,1500,c,1,16000,1,0,0,0,2b,,1108052,
452,,17,,,,Anacardiaceae,Tapirira,guianensis,,344,1800,a,1,16,4,0,0,,,,362,1800,a,1,16,4,0,0,,,,1108046,369,1800,a,1,23000,1,0,0,1,4,,1108041,
453,,17,,,,Euphorbiaceae,Hevea,guianensis,,295,1300,a,1,16,4,0,0,,,,297,1300,a,1,16,4,0,0,,,,1108047,299,1300,a,1,22000,1,0,0,0,3b,,1108058,
454,,17,,,,Apocynaceae,Aspidosperma,excelsum,,139,1300,a,1,13,4,0,0,,,,143,1300,a,1,13,4,0,0,,,,1108048,144,1300,a,1,17000,1,0,0,0,3a,,1108061,
455,,17,,,,Elaeocarpaceae,Sloanea,obtusifolia,,240,3000,a,1,17,4,0,0,,,,242,3000,a,1,18,4,0,0,,,,1108049,272,3000,a,1,23000,1,0,0,0,2c,,1108053,
456,,17,,,,Euphorbiaceae,Senefeldera,inclinata,,127,1300,a,1,9,4,0,0,,,,130,1300,a,1,10,4,0,0,,,,1108050,128,1300,c,1,14000,1,0,0,0,2a,,1108050,
457,,17,,,,Apocynaceae,Aspidosperma,indet,,128,1300,a,1,10,4,0,0,,,,129,1300,a,1,10,4,0,0,,,,1108051,129,1300,m,1,15000,1,0,0,2,1,,1108062,
458,,17,,,,Nyctaginaceae,Neea,divaricata,,233,1300,a,1,13,4,0,0,,,,238,1300,a,1,13,4,0,0,,,,1108052,238,1300,a,1,20000,1,0,0,0,3a,,1108063,
459,,17,,,,Myristicaceae,Iryanthera,juruensis,,106,1300,a,1,6,4,0,0,,,,108,1300,a,1,6,4,0,0,,,,1108053,108,1300,a,1,9000,1,0,0,0,2a,,1108047,
461,,17,,,,Sapindaceae,Talisia,indet,,133,1300,a,1,10,4,0,0,,,,138,1300,a,1,10,4,0,0,,,,1108054,138,1300,a,1,13000,1,0,0,0,2b,,1108054,
462,,17,,,,Rubiaceae,Faramea,torquata,,110,1300,a,1,12,4,0,0,,,,144,1300,a,1,12,4,0,0,,,,1108055,143,3000,a,1,15000,1,0,0,0,3a,,1108046,
463,,17,,,,Urticaceae,Pourouma,mollis,,130,1300,a,1,8,4,0,0,,,,134,1300,a,1,8,4,0,0,,,,1108056,135,1300,a,1,11000,1,0,0,0,2c,,1108059,
464,,17,,,,Rubiaceae,Faramea,torquata,,166,2100,a,1,8,4,0,0,,,,169,2100,a,1,9,4,0,0,,,,1108057,166,2100,e,1,12000,1,0,0,0,2b,,1108039,
465,,17,,,,Meliaceae,Guarea,indet,,168,1300,a,1,8,4,0,0,,,,169,1300,a,1,8,4,0,0,,,,1108058,169,1300,c,1,11000,1,0,0,0,2a,,1108056,
466,,17,,,,Sapotaceae,Pouteria,torta,,115,1300,a,1,8,4,0,0,,,,118,1300,a,1,8,4,0,0,,,,1108059,117,1300,a,1,15000,1,0,0,0,5,,1108048,
467,,17,,,,Chrysobalanaceae,Licania,indet,,120,1300,a,1,8,4,0,0,,,,126,1300,a,1,9,4,0,0,,,,1108060,125,1300,a,1,13000,1,0,0,1,4,,1108051,
468,,17,,,,Sapotaceae,Micropholis,guyanensis,,116,1300,a,1,7,4,0,0,,,,104,1300,a,1,8,4,0,0,,,,1108061,104,1300,a,1,12000,1,0,0,1,3a,,1108055,
469,,17,,,,Euphorbiaceae,Senefeldera,inclinata,,169,1300,e,1,9,4,0,0,,,,170,1300,a,1,10,4,0,0,,,,1108062,175,1300,a,1,15000,1,0,0,0,3b,,1108045,
470,,17,,,,Euphorbiaceae,Senefeldera,inclinata,,110,1300,b,1,6,4,0,0,,,,115,1300,b,1,6,4,0,0,,,6,1108063,115,1300,b,1,9000,1,0,0,0,4,b=6000,1108057,
471,,18,,,,Elaeocarpaceae,Sloanea,guianensis,,137,1300,a,1,9,4,0,0,,,,144,1300,a,1,10,4,0,0,,,,1108064,144,1300,a,1,15000,1,0,0,1,2a,,1108091,
472,,18,,,,Apocynaceae,Aspidosperma,parvifolium,,210,1300,a,1,10,4,0,0,,,,215,1300,a,1,10,4,0,0,,,,1108065,214,1300,m,1,20000,1,0,0,0,2c,,1108081,
473,,18,,,,Elaeocarpaceae,Sloanea,pubescens,,200,2950,a,1,9,4,0,0,,,,198,2950,a,1,10,4,0,0,,,,1108066,198,2950,a,1,18000,1,0,0,0,2c,,1108074,
474,,18,,,,Vochysiaceae,Qualea,paraensis,,364,3200,a,1,15,4,0,0,,,,372,3200,a,1,15,4,0,0,,,,1108067,375,3200,a,1,23000,1,0,0,0,5,,1108065,
475,,18,,,,Apocynaceae,Aspidosperma,parvifolium,,281,2000,a,1,13,4,0,0,,,,286,2000,a,1,13,4,0,0,,,,1108068,288,2000,a,1,23000,1,0,0,0,5,,1108068,
476,,18,,,,Euphorbiaceae,Senefeldera,inclinata,,112,1300,a,1,7,4,0,0,,,,113,1300,a,1,7,4,0,0,,,,1108069,115,1300,a,1,13000,1,0,0,0,1,,1108093,
477,,18,,,,Elaeocarpaceae,Sloanea,sinemariensis,,260,1900,a,1,11,4,0,0,,,,260,1900,a,1,11,4,0,0,,,,1108070,263,1900,a,1,17000,1,0,0,0,2a,,1108088,
478,,18,,,,Euphorbiaceae,Senefeldera,inclinata,,113,1300,a,1,9,4,0,0,,,,115,1300,a,1,9,4,0,0,,,,1108071,117,1300,a,1,15000,1,0,0,0,3b,,1108086,
479,,18,,,,Elaeocarpaceae,Sloanea,indet,,469,5600,a,1,16,4,0,0,,,,468,5600,a,1,20,4,0,0,,,,1108072,468,5600,a,1,20000,1,3,0,0,4,muy alto,1108087,
480,,18,,,,Euphorbiaceae,Senefeldera,inclinata,,157,1300,a,1,11,4,0,0,,,,161,1300,a,1,11,4,0,0,,,,1108073,161,1300,a,1,18000,1,0,0,0,2b,,1108080,
481,,18,,,,Fabaceae,Tachigali,indet,,218,1300,a,1,11,4,0,0,,,,224,1300,a,1,11,4,0,0,,,,1108074,225,1300,a,1,23000,1,0,0,1,2b,,1108078,
482,,18,,,,Myristicaceae,Virola,calophylla,,133,1300,a,1,10,4,0,0,,,,133,1300,a,1,10,4,0,0,,,,1108075,133,1300,a,1,15000,1,0,0,0,2c,,1108085,
483,,18,,,,Lauraceae,Ocotea,javitensis,,221,1300,a,1,13,4,0,0,,,,225,1300,a,1,14,4,0,0,,,,1108076,226,1300,a,1,19000,1,0,0,0,3b,,1108071,
484,,18,,,,Sapotaceae,Micropholis,egensis,,163,1300,a,1,9,4,0,0,,,,168,1300,a,1,9,4,0,0,,,,1108077,172,1300,a,1,22000,1,0,0,0,4,,1108073,
485,,18,,,,Urticaceae,Pourouma,mollis,,335,1300,a,1,12,4,0,0,,,,340,1300,a,1,12,4,0,0,,,,1108078,0,1300,0,bps,0,,0,0,,,,1108069,
486,,18,,,,Vochysiaceae,Qualea,paraensis,,101,1300,a,1,9,4,0,0,,,,104,1300,a,1,10,4,0,0,,,,1108079,106,1300,c,1,12000,1,0,0,0,2c,,1108084,
487,,18,,,,Annonaceae,Guatteria,dielsiana,,104,1300,a,1,4,4,0,0,,,,105,1300,a,1,4,4,0,0,,,,1108080,105,1300,a,1,12000,1,0,0,0,2c,,1108075,
488,,18,,,,Fabaceae,Inga,ruiziana,,215,1300,a,1,12,4,0,0,,,,222,1300,a,1,12,4,0,0,,,,1108081,219,1300,a,1,17000,1,0,0,0,2a,,1108089,
489,,18,,,,Indet,Indet,indet,,112,1300,a,1,9,4,0,0,,,,0,1300,0,mrs,,,0,0,,,,1108082,0,1300,0,mrs,0,,0,0,,,,1108077,
490,,18,,,,Elaeocarpaceae,Sloanea,guianensis,,164,1500,a,1,12,4,0,0,,,,165,1500,l,1,12,4,0,0,,,,1108083,170,1500,m,1,18000,1,0,0,2,4,,1108076,
491,,18,,,,Myristicaceae,Iryanthera,juruensis,,195,1300,a,1,8,4,0,0,,,,195,1300,a,1,8,4,0,0,,,,1108084,195,1300,a,1,17000,1,0,0,1,4,,1108070,
492,,18,,,,Euphorbiaceae,Senefeldera,inclinata,,225,1300,a,1,12,4,0,0,,,,225,1300,a,1,12,4,0,0,,,,1108085,229,1300,a,1,20000,1,0,0,1,4,,1108083,
493,,18,,,,Annonaceae,Annona,indet,,113,1800,a,1,9,4,0,0,,,,113,1800,a,1,10,4,0,0,,,,1108086,118,1800,a,1,10000,1,0,0,0,1,,1108064,
494,,18,,,,Annonaceae,Annona,indet,,112,1300,a,1,9,4,0,0,,,,115,1300,a,1,10,4,0,0,,,,1108087,117,1300,a,1,15000,1,0,0,0,3b,,1108066,
495,,18,,,,Malvaceae,Eriotheca,globosa,,101,1300,a,1,11,4,0,0,,,,102,1300,a,1,12,4,0,0,,,,1108088,106,1300,m,1,16000,1,0,0,2,2b,,1108072,
496,,18,,,,Sapotaceae,Micropholis,guyanensis,,272,1300,a,1,15,4,0,0,,,,275,1300,l,1,15,4,0,0,,,,1108089,282,1300,a,1,23000,1,0,0,1,5,,1108090,
497,,18,,,,Cardiopteridaceae,Dendrobangia,boliviana,,218,1300,a,1,12,4,0,0,,,,220,1300,l,1,12,4,0,0,,,,1108090,226,1300,a,1,26000,1,0,0,1,4,,1108067,
498,,18,,,,Rubiaceae,Faramea,torquata,,108,1300,a,1,13,4,0,0,,,,112,1300,a,1,13,4,0,0,,,,1108091,112,1300,a,1,15000,1,0,0,0,1,,1108079,
499,,18,,,,Rubiaceae,Schizocalyx,obovatus,,126,1300,a,1,8,4,0,0,,,,129,1300,a,1,8,4,0,0,,,,1108092,129,1300,a,1,16000,1,0,0,1,2c,,1108082,
500,,18,,,,Fabaceae,Andira,inermis,,555,1800,a,1,17,4,0,0,,,,556,1800,a,1,17,4,0,0,,,,1108093,556,1800,a,1,27000,1,0,0,1,4,,1108092,
502,,19,,,,Chrysobalanaceae,Parinari,occidentalis,,140,1300,a,1,7,4,0,0,,,,142,1300,a,1,7,4,0,0,,,,1108094,143,1300,a,1,14000,1,0,0,0,1,,1108106,
503,,19,,,,Sabiaceae,Meliosma,indet,,175,1300,a,1,12,4,0,0,,,,178,1300,a,1,12,4,0,0,,,,1108095,179,1300,a,1,17000,1,0,0,0,1,,1108102,
504,,19,,,,Fabaceae,Tachigali,indet,,232,1300,a,1,15,4,0,0,,,,240,1300,a,1,16,4,0,0,,,,1108096,248,1300,e,1,23000,1,0,0,0,4,,1108112,
505,,19,,,,Monimiaceae,Mollinedia,killipii,,148,1300,a,1,10,4,0,0,,,,150,1300,l,1,10,4,0,0,,,,1108097,159,1300,a,1,17000,1,0,0,1,3b,,1108113,
506,,19,,,,Fabaceae,Inga,gracilifolia,,112,1300,a,1,10,4,0,0,,,,109,1300,a,1,10,4,0,0,,,,1108098,112,1300,a,1,15000,1,0,0,0,2b,,1108115,
507,,19,,,,Myristicaceae,Iryanthera,juruensis,,142,1300,a,1,7,4,0,0,,,,144,1300,a,1,7,4,0,0,,,,1108099,144,1300,a,1,25000,1,0,0,1,3a,,1108108,
508,,19,,,,Melastomataceae,Miconia,indet,,278,1800,a,1,14,4,0,0,,,,278,1800,a,1,14,4,0,0,,,,1108100,289,1800,e,1,22000,1,0,0,1,4,,1108094,
509,,19,,,,Anacardiaceae,Tapirira,guianensis,,425,2100,a,1,17,4,0,0,,,,427,2100,a,1,20,4,0,0,,,,1108101,427,2100,a,1,21000,1,0,0,1,4,muy alto cambiaron POM,1108103,
510,,19,,,,Caryocaraceae,Caryocar,amygdaliforme,,101,1300,a,1,8,4,0,0,,,,105,1300,a,1,8,4,0,0,,,,1108102,109,1300,a,1,14000,1,0,0,0,2b,,1108107,
511,,19,,,,Lauraceae,Ocotea,insularis,,460,1800,a,1,14,4,0,0,,,,465,1800,a,1,14,4,0,0,,,,1108103,466,1800,m,1,23000,1,0,0,2,4,,1108109,
512,,19,,,,Fabaceae,Inga,nobilis,,286,1300,a,1,12,4,0,0,,,,286,1300,a,1,12,4,0,0,,,,1108104,285,1300,m,1,20000,1,0,0,2,3b,,1108097,
513,,19,,,,Rubiaceae,Faramea,torquata,,201,1800,c,1,9,4,0,0,,,,201,1800,c,1,10,4,0,0,,,,1108105,0,1800,0,bqv,0,,0,0,,,,1108099,
514,,19,,,,Rubiaceae,Schizocalyx,obovatus,,100,1300,a,1,8,4,0,0,,,,103,1300,a,1,8,4,0,0,,,,1108106,103,1300,bz,1,2300,1,0,0,0,2a,b=2300,1108114,
515,,19,,,,Meliaceae,Guarea,indet,,106,1300,a,1,7,4,0,0,,,,107,1300,a,1,8,4,0,0,,,,1108107,107,1300,b,1,5000,1,0,0,0,2a,b=5000,1108111,
516,,19,,,,Elaeocarpaceae,Sloanea,sinemariensis,,165,2000,a,1,11,4,0,0,,,,168,2000,a,1,11,4,0,0,,,,1108108,172,2000,a,1,16000,1,0,0,0,3b,,1108110,
517,,19,,,,Meliaceae,Guarea,indet,,145,1900,a,1,9,4,0,0,,,,145,1900,a,1,9,4,0,0,,,,1108109,147,1900,a,1,15000,1,0,0,1,4,,1108100,
518,,19,,,,Euphorbiaceae,Hevea,guianensis,,151,1300,b,1,7,4,0,0,,,Broken at 5m,153,1300,b,1,7,4,0,0,,,5,1108110,154,1300,b,1,15000,1,0,0,0,4,b=8000,1108101,
519,,19,,,,Euphorbiaceae,Senefeldera,inclinata,,142,1300,a,1,8,4,0,0,,,,147,1300,a,1,8,4,0,0,,,,1108111,154,1300,a,1,17000,1,0,0,1,5,sin placa,1108095,
520,,19,,,,Elaeocarpaceae,Sloanea,guianensis,,117,1300,a,1,9,4,0,0,,,,129,1300,a,1,10,4,0,0,,,,1108112,132,1300,a,1,12000,1,0,0,1,3b,,1108096,
521,,19,,,,Elaeocarpaceae,Sloanea,meianthera,,314,3600,a,1,13,4,0,0,,,POM changed from 30600 to 3600. Need to be checked in the field books.,315,3600,e,1,14,4,0,0,,,,1108113,315,3600,e,1,15000,1,3,0,1,3a,,1108104,
522,,19,,,,Nyctaginaceae,Neea,floribunda,,273,1300,a,1,12,4,0,0,,,,283,1300,a,1,12,4,0,0,,,,1108114,284,1300,c,1,20000,1,0,0,1,3a,,1108098,
523,,19,,,,Elaeocarpaceae,Sloanea,sinemariensis,,151,1300,c,1,10,4,0,0,,,,152,1300,c,1,10,4,0,0,,,,1108115,149,1300,cz,1,15000,1,0,0,1,1,,1108105,
524,,20,,,,Rubiaceae,Faramea,torquata,,137,1300,c,1,11,4,0,0,,,,143,1300,c,1,11,4,0,0,,,,1108116,0,1300,0,cps,0,,0,0,,,,1108128,
525,,20,,,,Euphorbiaceae,Hevea,guianensis,,336,1300,a,1,17,4,0,0,,,,333,1300,a,1,20,4,0,0,,,,1108117,340,1300,a,1,22000,1,0,0,1,4,,1108116,
526,,20,,,,Indet,Indet,indet,,109,1300,a,1,9,4,0,0,,,,112,1300,a,1,10,4,0,0,,,,1108118,114,1300,a,1,19000,1,0,0,1,2b,,1108124,
527,,20,,,,Euphorbiaceae,Hevea,guianensis,,134,1300,a,1,9,4,0,0,,,,140,1300,a,1,9,4,0,0,,,,1108119,175,1300,a,1,12000,1,0,0,0,3b,,1108131,
528,,20,,,,Vochysiaceae,Qualea,paraensis,,137,1300,a,1,9,4,0,0,,,,143,1300,a,1,9,4,0,0,,,,1108120,154,1300,a,1,18000,1,0,0,1,4,,1108122,
529,,20,,,,Melastomataceae,Miconia,splendens,,157,1300,a,1,10,4,0,0,,,,165,1300,a,1,10,4,0,0,,,,1108121,175,1300,a,1,15000,1,0,0,0,2c,,1108133,
530,,20,,,,Fabaceae,Inga,nobilis,,108,1300,a,1,9,4,0,0,,,,112,1300,a,1,9,4,0,0,,,,1108122,118,1300,a,1,10000,1,0,0,0,1,,1108139,
531,,20,,,,Elaeocarpaceae,Sloanea,guianensis,,269,2040,a,1,16,4,0,0,,,,275,2040,a,1,17,4,0,0,,,,1108123,294,2040,em,1,21000,1,0,0,2,4,,1108136,
532,,20,,,,Rubiaceae,Faramea,torquata,,149,3200,c,1,12,4,0,0,,,,149,3200,el,1,13,4,0,0,,,,1108124,150,3200,e,1,13000,1,0,0,0,2a,,1108126,
533,,20,,,,Sapotaceae,Micropholis,guyanensis,,450,1300,a,1,21,4,0,0,,,,455,1300,a,1,22,4,0,0,,,,1108125,458,1300,a,1,25000,1,0,0,0,5,,1108121,
534,,20,,,,Melastomataceae,Miconia,punctata,,184,1300,a,1,12,4,0,0,,,,189,1300,a,1,13,4,0,0,,,,1108126,191,1300,z,1,16000,1,0,0,0,3a,,1108130,
535,,20,,,,Euphorbiaceae,Senefeldera,inclinata,,130,1300,a,1,11,4,0,0,,,,133,1300,a,1,11,4,0,0,,,,1108127,138,1300,c,1,19000,1,0,0,0,2c,,1108119,
536,,20,,,,Rubiaceae,Ferdinandusa,chlorantha,,196,1800,a,1,16,4,0,0,,,,200,1800,a,1,17,4,0,0,,,,1108128,202,1800,a,1,21000,1,0,0,0,2b,,1108117,
537,,20,,,,Caryocaraceae,Caryocar,amygdaliforme,,135,1300,a,1,8,4,0,0,,,,137,1300,a,1,9,4,0,0,,,,1108129,137,1300,a,1,19000,1,0,0,0,2c,,1108142,
538,,20,,,,Euphorbiaceae,Hevea,guianensis,,270,1300,a,1,17,4,0,0,,,,272,1300,a,1,18,4,0,0,,,,1108130,270,1300,a,1,21000,1,0,0,1,3b,,1108127,
539,,20,,,,Linaceae,Hebepetalum,humiriifolium,,239,1300,a,1,16,4,0,0,,,,243,1300,a,1,16,4,0,0,,,,1108131,246,1300,a,1,20000,1,0,0,1,2c,,1108135,
540,,20,,,,Sapotaceae,Micropholis,guyanensis,,410,2100,a,1,17,4,0,0,,,,415,2100,a,1,17,4,0,0,,,,1108132,415,2100,a,1,23000,1,0,0,0,4,,1108134,
541,,20,,,,Malvaceae,Eriotheca,globosa,,161,1300,a,1,13,4,0,0,,,,162,1300,a,1,13,4,0,0,,,,1108133,167,1300,a,1,20000,1,0,0,0,4,,1108132,
542,,20,,,,Clusiaceae,Clusia,indet,,187,1300,a,1,13,4,0,0,,,,188,1300,a,1,12,4,0,0,,,,1108134,189,1300,m,1,18000,1,0,0,2,2c,,1108138,
543,,20,,,,Moraceae,Brosimum,utile,,263,1300,a,1,12,4,0,0,,,,265,1300,a,1,13,4,0,0,,,,1108135,265,1300,a,1,20000,1,0,0,0,3b,,1108125,
544,,20,,,,Annonaceae,Unonopsis,spectabilis,,151,1800,a,1,9,4,0,0,,,,152,1800,a,1,10,4,0,0,,,,1108136,155,1800,e,1,13000,1,0,0,0,2a,,1108137,
545,,20,,,,Lauraceae,Ocotea,javitensis,,551,2100,a,1,15,4,0,0,,,,550,2100,a,1,15,4,0,0,,,,1108137,0,2100,0,lr,0,,0,0,,,,1108140,
546,,20,,,,Sapotaceae,Micropholis,guyanensis,,180,1300,a,1,14,4,0,0,,,,186,1300,l,1,15,4,0,0,,,,1108138,187,1300,a,1,18000,1,0,0,1,5,,1108123,
547,,20,,,,Annonaceae,Guatteria,dielsiana,,105,1300,d,1,7,4,0,0,,,,110,1300,d,1,8,4,0,0,,,,1108139,119,1300,d,1,10000,1,0,0,0,1,,1108141,
548,,20,,,,Lauraceae,Persea,indet,,367,1800,a,1,18,4,0,0,,,,368,1800,a,1,18,4,0,0,,,,1108140,368,1800,a,1,24000,1,0,0,0,5,,1108143,
549,,20,,,,Elaeocarpaceae,Sloanea,sinemariensis,,100,1300,c,1,8,4,0,0,,,,101,1300,c,1,9,4,0,0,,,,1108141,106,1300,c,1,12000,1,0,0,0,2a,,1108144,
550,,20,,,,Euphorbiaceae,Senefeldera,inclinata,,105,1300,a,1,9,4,0,0,,,,107,1300,a,1,10,4,0,0,,,,1108142,115,1300,a,1,15000,1,0,0,2,2b,,1108129,
551,,20,,,,Elaeocarpaceae,Sloanea,sinemariensis,,143,1300,a,1,8,4,0,0,,,,145,1300,l,1,8,4,0,0,,,,1108143,152,1300,m,1,18000,1,0,0,2,4,,1108120,
552,,20,,,,Elaeocarpaceae,Sloanea,guianensis,,130,1800,a,1,9,4,0,0,,,,135,1800,l,1,9,4,0,0,,,,1108144,143,1800,a,1,15000,1,0,0,1,2c,,1108118,
553,,21,,,,Elaeocarpaceae,Sloanea,guianensis,,111,1300,a,1,8,4,0,0,,,,117,1300,a,1,9,4,0,0,,,,1108145,121,1300,m,1,14000,1,0,0,2,3b,,1108169,
554,,21,,,,Rubiaceae,Faramea,torquata,,207,1300,c,1,9,4,0,0,,,,211,1300,c,1,10,4,0,0,,,,1108146,211,1300,c,1,17000,1,0,0,1,3b,,1108170,
555,,21,,,,Euphorbiaceae,Hevea,guianensis,,183,1300,a,1,11,4,0,0,,,,184,1300,l,1,12,4,0,0,,,,1108147,184,1300,m,1,15000,1,0,0,2,3b,,1108145,
556,,21,,,,Burseraceae,Protium,altsonii,,322,1300,a,1,14,4,0,0,,,,325,1300,c,1,14,4,0,0,,,,1108148,0,1300,0,cps,0,,0,0,,,,1108151,
557,,21,,,,Elaeocarpaceae,Sloanea,sinemariensis,,148,1300,a,1,9,4,0,0,,,,150,1300,a,1,9,4,0,0,,,,1108149,154,1300,a,1,15000,1,0,0,0,2c,,1108152,
558,,21,,,,Sapotaceae,Micropholis,guyanensis,,252,2000,a,1,14,4,0,0,,,,253,2000,a,1,14,4,0,0,,,,1108150,255,2000,m,1,22000,1,0,0,3,5,,1108165,
559,,21,,,,Elaeocarpaceae,Sloanea,sinemariensis,,155,1300,a,1,11,4,0,0,,,,155,1300,a,1,11,4,0,0,,,,1108151,159,1300,a,1,18000,1,0,0,1,4,,1108162,
560,,21,,,,Elaeocarpaceae,Sloanea,latifolia,,244,1800,a,1,15,4,0,0,,,,245,1800,hl,1,16,4,0,0,,,,1108152,269,1800,a,1,24000,1,0,0,1,5,,1108166,
561,,21,,,,Euphorbiaceae,Hevea,guianensis,,240,1300,a,1,13,4,0,0,,,,265,1300,hl,1,13,4,0,0,,,,1108153,265,1300,a,1,23000,1,0,0,0,1,,1108149,
562,,21,,,,Sapotaceae,Chrysophyllum,lucentifolium,,161,1500,a,1,11,4,0,0,,,,163,1500,l,1,12,4,0,0,,,,1108154,170,1500,a,1,20000,1,0,0,1,3b,,1108148,
563,,21,,,,Sabiaceae,Meliosma,indet,,207,1300,a,1,12,4,0,0,,,,212,1300,a,1,12,4,0,0,,,,1108155,214,1300,a,1,15000,1,0,0,1,4,,1108150,
564,,21,,,,Myrtaceae,Eugenia,biflora,,245,1300,a,1,10,4,0,0,,,,254,1300,a,1,10,4,0,0,,,,1108156,259,1300,a,1,22000,1,0,0,1,4,,1108163,
565,,21,,,,Meliaceae,Trichilia,indet,,148,1300,a,1,9,4,0,0,,,,148,1300,l,1,10,4,0,0,,,,1108157,148,1300,a,1,13000,1,0,0,1,2a,,1108167,
566,,21,,,,Annonaceae,Guatteria,dielsiana,,139,1300,a,1,9,4,0,0,,,,140,1300,a,1,10,4,0,0,,,,1108158,139,1300,a,1,10000,1,0,0,0,2a,,1108157,
567,,21,,,,Euphorbiaceae,Senefeldera,inclinata,,142,1300,a,1,10,4,0,0,,,,143,1300,a,1,10,4,0,0,,,,1108159,146,1300,a,1,11000,1,0,0,0,2a,,1108154,
568,,21,,,,Euphorbiaceae,Senefeldera,inclinata,,108,1300,a,1,8,4,0,0,,,,110,1300,l,1,9,4,0,0,,,,1108160,108,1300,a,1,13000,1,0,0,0,2a,,1108161,
569,,21,,,,Clusiaceae,Calophyllum,indet,,230,1300,a,1,10,4,0,0,,,,237,1300,c,1,11,4,0,0,,,,1108161,237,1300,a,1,20000,1,0,0,0,2c,,1108159,
570,,21,,,,Chrysobalanaceae,Couepia,bernardii,,117,1300,a,1,9,4,0,0,,,,121,1300,a,1,9,4,0,0,,,,1108162,118,1300,a,1,14000,1,0,0,0,1,,1108160,
571,,21,,,,Sapotaceae,Micropholis,guyanensis,,318,2600,a,1,11,4,0,0,,,,324,2600,l,1,12,4,0,0,,,,1108163,319,2600,m,1,19000,1,0,0,3,3b,,1108153,
572,,21,,,,Myrtaceae,Eugenia,feijoi,,136,1300,a,1,11,4,0,0,,,,136,1300,c,1,11,4,0,0,,,,1108164,136,1300,c,1,17000,1,0,0,0,2b,,1108147,
573,,21,,,,Olacaceae,Heisteria,duckei,,172,1300,a,1,9,4,0,0,,,,174,1300,a,1,10,4,0,0,,,,1108165,175,1300,a,1,18000,1,0,0,0,2c,,1108156,
574,,21,,,,Elaeocarpaceae,Sloanea,guianensis,,115,1300,a,1,10,4,0,0,,,,119,1300,a,1,10,4,0,0,,,,1108166,125,1300,a,1,15000,1,0,0,0,2c,,1108164,
575,,21,,,,Sapotaceae,Micropholis,guyanensis,,212,1300,a,1,15,4,0,0,,,,213,1300,a,1,16,4,0,0,,,,1108167,213,1300,a,1,22000,1,0,0,1,4,,1108158,
576,,21,,,,Malvaceae,Eriotheca,globosa,,322,1300,a,1,16,4,0,0,,,,327,1300,a,1,16,4,0,0,,,,1108168,327,1300,a,1,23000,1,0,0,1,4,,1108168,
577,,21,,,,Rubiaceae,Schizocalyx,obovatus,,112,1300,a,1,10,4,0,0,,,,112,1300,l,1,11,4,0,0,,,,1108169,112,1300,m,1,13000,1,0,0,2,2a,,1108155,
578,,21,,,,Caryocaraceae,Caryocar,amygdaliforme,,123,1300,b,1,4,4,0,0,,,Broken at 4m,124,1300,b,1,5,4,0,0,,,4,1108170,127,1300,b,1,5000,1,0,0,0,1,b=4000,1108146,
579,,22,,,,Fabaceae,Inga,capitata,,244,1300,a,1,13,4,0,0,,,,244,1300,a,1,13,4,0,0,,,,1108171,250,1300,a,1,29000,1,0,0,0,4,,1108176,
580,,22,,,,Fabaceae,Piptadenia,pteroclada,,251,1500,b,1,7,4,0,0,,,Broken at 5m,254,1500,hl,1,8,4,0,0,,,,1108172,268,1500,a,1,23000,1,0,0,0,5,,1108179,
581,,22,,,,Nyctaginaceae,Neea,indet,,122,1300,a,1,14,4,0,0,,,,122,1300,hl,1,15,4,0,0,,,,1108173,122,1300,a,1,15000,1,0,0,0,3a,,1108171,
582,,22,,,,Apocynaceae,Aspidosperma,parvifolium,,184,1300,a,1,8,4,0,0,,,,184,1300,a,1,8,4,0,0,,,,1108174,184,1300,a,1,15000,1,0,0,0,1,,1108172,
583,,22,,,,Myrtaceae,Siphoneugena,indet,,244,1630,a,1,16,4,0,0,,,,285,1630,a,1,16,4,0,0,,,,1108175,291,1630,a,1,23000,1,0,0,0,5,,1108196,
584,,22,,,,Rubiaceae,Ferdinandusa,guainiae,,101,1300,c,1,8,4,0,0,,,,103,1300,c,1,8,4,0,0,,,,1108176,109,1300,c,1,10000,1,0,0,0,2a,,1108197,
