"","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm"
"58","20.25.7.13","0.0555544561823883","0.0618426588136294","PAN-03",20,20,25,7,13,10,14.7,NA,7
"59","21.13.1.14","0.0530727785754073","0.0692048801009664","PAN-03",21,21,13,1,14,16,23.3,NA,7
"60","21.16.9.13","0.0523537317896213","0.0769877997475811","PAN-03",21,21,16,9,13,17,27.7,NA,7
"61","21.19.11.13","0.0533024595843698","0.071729070256624","PAN-03",21,21,19,11,13,17,21.7,NA,10
"62","21.23.3.14","0.0905931880902002","0.104543542280181","PAN-03",21,21,23,3,14,11,18.2,NA,7
"63","21.25.7.13","0.0184988723605766","0.0227177114009286","PAN-03",21,21,25,7,13,10,15,NA,7
"64","22.13.1.14","0.0702189130652363","0.104648716870007","PAN-03",22,22,13,1,14,16,25.6,NA,7
"65","22.19.11.13","0.0694258225170701","0.0912371134020632","PAN-03",22,22,19,11,13,17,21.5,NA,10
"66","22.23.3.14","0.0362621677486929","0.0480647875473244","PAN-03",22,22,23,3,14,11,18,NA,7
"67","22.25.7.13","0.370363041215922","0.584560370214554","PAN-03",22,22,25,7,13,10,14.7,NA,7
"68","23.13.1.14","0.227809547538461","0.288914598233069","PAN-03",23,23,13,1,14,16,25.8,NA,7
"69","23.19.11.13","0.141936239662979","0.176693310896087","PAN-03",23,23,19,11,13,16,21.8,NA,10
"70","23.23.3.14","0.452965940451001","0.578091797705054","PAN-03",23,23,23,3,14,11,18.2,NA,7
"71","23.25.7.13","0.0926873599495767","0.119899032393772","PAN-03",23,23,25,7,13,10,14.4,NA,7
"72","24.13.1.14","0.246508816430545","0.320361800588974","PAN-03",24,24,13,1,14,15,24.7,NA,7
"73","24.16.9.13","0.158696425278666","0.208245687841819","PAN-03",24,24,16,9,13,15,24.6,NA,7
"74","24.19.11.13","0.230256058788181","0.290176693310891","PAN-03",24,24,19,11,13,16,22.3,NA,10
"75","24.23.3.14","0.236272149802746","0.309213294068153","PAN-03",24,24,23,3,14,10,17.3,NA,7
"76","24.25.7.13","0.111690939145105","0.150189314261674","PAN-03",24,24,25,7,13,10,13.2,NA,7
"77","25.13.1.14","0.211737458698136","0.29291123264619","PAN-03",25,25,13,1,14,14,24.4,NA,7
"78","25.16.9.13","0.282150694342303","0.378628523348757","PAN-03",25,25,16,9,13,14,24.9,NA,7
"79","25.19.11.13","0.281629807393715","0.358119478334035","PAN-03",25,25,19,11,13,13,24.8,NA,10
"80","25.25.7.13","0.111112581727076","0.138830458561213","PAN-03",25,25,25,7,13,10,15,NA,7
"81","3.19.11.13","0.196711658807797","0.264934791754313","PAN-03",3,3,19,11,13,8,21.4,NA,10
"82","3.23.3.14","0.126511621738597","0.185633151030712","PAN-03",3,3,23,3,14,14,18.3,NA,7
"83","3.25.7.13","0.0372053807735252","0.0469078670593176","PAN-03",3,3,25,7,13,8,13.7,NA,7
"84","4.19.11.13","0.32136922721828","0.436474547749265","PAN-03",4,4,19,11,13,8,22.2,NA,10
"85","4.23.3.14","0.307788044139556","0.384938998737906","PAN-03",4,4,23,3,14,13,18.1,NA,7
"86","4.25.7.13","0.0746729114686079","0.100967606226334","PAN-03",4,4,25,7,13,8,13,NA,7
"87","5.19.11.13","0.178176496140337","0.229490954985279","PAN-03",5,5,19,11,13,9,22.8,NA,10
"88","5.23.3.14","0.336545670089976","0.453608247422677","PAN-03",5,5,23,3,14,14,18.1,NA,7
"89","5.25.7.13","0.187009046181885","0.236222128733696","PAN-03",5,5,25,7,13,8,12.5,NA,7
"90","6.16.9.13","0.283953071508675","0.375262936474547","PAN-03",6,6,16,9,13,11,24.3,NA,7
"91","6.19.11.13","0.0355218232559521","0.0377576777450582","PAN-03",6,6,19,11,13,10,23.1,NA,10
"92","6.23.3.14","0.217100535251132","0.277450567942783","PAN-03",6,6,23,3,14,13,18,NA,7
"93","6.25.7.13","0.0747233570795428","0.0921329406815307","PAN-03",6,6,25,7,13,8,12.5,NA,7
"94","7.16.9.13","0.106446615426301","0.129995793016409","PAN-03",7,7,16,9,13,11,24.4,NA,7
"95","7.19.11.13","0.124410371520065","0.146297854438368","PAN-03",7,7,19,11,13,10,22.9,NA,10
"96","7.23.3.14","0.144990779261681","0.191628102650401","PAN-03",7,7,23,3,14,13,17.8,NA,7
"97","7.25.7.13","0.0559055184645662","0.0618426588136294","PAN-03",7,7,25,7,13,8,13.2,NA,7
"98","8.16.9.13","0.0353604922264763","0.0305006310475372","PAN-03",8,8,16,9,13,12,25.1,NA,7
"99","8.19.11.13","0.0353045150013456","0.0305006310475372","PAN-03",8,8,19,11,13,10,23.3,NA,10
"100","8.23.3.14","0.072595193987586","0.0961295750946571","PAN-03",8,8,23,3,14,13,17.4,NA,7
"101","8.25.7.13","0.0186481975797409","0.0251367269667641","PAN-03",8,8,25,7,13,8,13,NA,7
"102","9.16.9.13","0.0888181472675303","0.10727808161548","PAN-03",9,9,16,9,13,12,23.7,NA,7
"103","9.19.11.13","0.0533007266904059","0.0629995793016383","PAN-03",9,9,19,11,13,10,23,NA,10
"104","9.23.3.14","0.072570217144652","0.100967606226334","PAN-03",9,9,23,3,14,13,17.5,NA,7
"105","9.25.7.13","0.0372053807735252","0.0531131678586457","PAN-03",9,9,25,7,13,8,13.7,NA,7
