"","X","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm","TRU04","tree_num"
"48",48,"20.12.3.14",0.274457941619107,0.442268041237111,"TU4",20,"STEM",20,12,3,14,6,13.8,NA,7,640,640
"49",49,"20.23.7.13",0.133916507652357,0.208245687841817,"TU4",20,"STEM",20,23,7,13,2,11.9,NA,7,640,640
"50",50,"20.23.9.13",0.195414674180318,0.297854438367686,"TU4",20,"STEM",20,23,9,13,20,11.3,NA,7,640,640
"51",51,"20.26.5.13",0.164099914718074,0.248737904922169,"TU4",20,"STEM",20,26,5,13,14,12.7,NA,7,640,640
"52",52,"21.12.3.14",0.288966594754935,0.435051546391753,"TU4",21,"STEM",21,12,3,14,2,14.9,NA,7,663,663
"53",53,"21.23.7.13",0.29759223922746,0.436684896928899,"TU4",21,"STEM",21,23,7,13,2,11.9,NA,7,663,663
"54",54,"21.23.9.13",0.16567768824465,0.230858224652923,"TU4",21,"STEM",21,23,9,13,20,11.5,NA,7,663,663
"55",55,"21.26.5.13",0.223471841340779,0.324148085822465,"TU4",21,"STEM",21,26,5,13,14,12.7,NA,7,663,663
"56",56,"22.12.3.14",0.0740759852116444,0.108435002103495,"TU4",22,"STEM",22,12,3,14,3,14.3,NA,7,727,727
"57",57,"22.23.7.13",0.0597002522979435,0.10380732015145,"TU4",22,"STEM",22,23,7,13,4,11.8,NA,7,727,727
"58",58,"22.23.9.13",0.0451848240667228,0.0708876735380728,"TU4",22,"STEM",22,23,9,13,21,11.5,NA,7,727,727
"59",59,"22.26.5.13",0.0747913834186724,0.105069415229283,"TU4",22,"STEM",22,26,5,13,16,12.7,NA,7,727,727
"60",60,"23.12.3.14",0.0148351367422513,0.0419646613378202,"TU4",23,"STEM",23,12,3,14,3,14.3,NA,7,788,788
"61",61,"23.23.7.13",0.0447751892234576,0.0681531342027755,"TU4",23,"STEM",23,23,7,13,4,11.8,NA,7,788,788
"62",62,"23.23.9.13",0.0301423092172973,0.0430164072360093,"TU4",23,"STEM",23,23,9,13,22,11.7,NA,7,788,788
"63",63,"23.26.5.13",0.0448748300512035,0.0720445940260817,"TU4",23,"STEM",23,26,5,13,16,12.7,NA,7,788,788
"64",64,"24.12.3.14",0.385195123100551,0.62273874631889,"TU4",24,"STEM",24,12,3,14,3,14.3,NA,7,811,811
"65",65,"24.23.7.13",0.0448223789538881,0.0708876735380687,"TU4",24,"STEM",24,23,7,13,4,11.5,NA,7,811,811
"66",66,"24.23.9.13",0.0301423092172973,0.0444888514934779,"TU4",24,"STEM",24,23,9,13,22,11.7,NA,7,811,811
"67",67,"24.26.5.13",0.029916553367469,0.0581615481699628,"TU4",24,"STEM",24,26,5,13,16,12.7,NA,7,811,811
"68",68,"25.12.3.14",0.103706379296302,0.166701724863272,"TU4",25,"STEM",25,12,3,14,4,14.3,NA,7,851,851
"69",69,"25.23.7.13",0.0448223789538881,0.0681531342027755,"TU4",25,"STEM",25,23,7,13,4,11.5,NA,7,851,851
"70",70,"25.23.9.13",0.105424061504701,0.151346234749685,"TU4",25,"STEM",25,23,9,13,22,11.9,NA,7,851,851
"71",71,"25.26.5.13",0.104707936786141,0.165229280605807,"TU4",25,"STEM",25,26,5,13,17,12.7,NA,7,851,851
"72",72,"3.14.3.14",0.162925250635232,0.239272191838451,"TU4",3,"STEM",3,14,3,14,10,13.6,NA,7,90,90
"73",73,"3.22.7.13",0.0600258896264673,0.0915018931426151,"TU4",3,"STEM",3,22,7,13,21,11.4,NA,7,90,90
"74",74,"3.23.9.13",0.0896344730753574,0.146403029028187,"TU4",3,"STEM",3,23,9,13,2,12.3,NA,7,90,90
"75",75,"3.27.5.13",0.0753714681834215,0.11243163651662,"TU4",3,"STEM",3,27,5,13,8,10.5,NA,7,90,90
"76",76,"4.14.3.14",0.0592841501735459,0.0859276398822047,"TU4",4,"STEM",4,14,3,14,10,13.8,NA,7,136,136
