plot_code,year,month,day,ingrowth_core_num,is_stock_yn,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ml_under_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,quality_code,comments
PAN-03,2013,6,18,10,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,10,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,10,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,11,n,10.5,41.4,21.6,NaN,30,1,10,NaN,0.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,11,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,11,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,11,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,12,n,30.3,41.5,21.4,NaN,30,1,10,NaN,0.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,12,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,12,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,12,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,13,n,5.44,42.8,21.6,NaN,30,1,10,NaN,0.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,13,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,13,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,13,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,14,n,10.9,20.5,21.5,NaN,30,1,10,NaN,0.514,NaN,0.16,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,14,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,14,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,14,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,15,n,10.41,20.3,21.5,NaN,30,1,10,NaN,0.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,15,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,15,n,NaN,NaN,NaN,NaN,30,3,10,NaN,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,15,n,NaN,NaN,NaN,NaN,30,4,10,NaN,0.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,16,n,21.81,20.2,21.2,NaN,30,1,10,NaN,0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
PAN-03,2013,6,18,16,n,NaN,NaN,NaN,NaN,30,2,10,NaN,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
