FAMILY	GENUS	SPECIES	WSG
Polygonaceae	Ruprechtia	exploratricis	0.7
Polygonaceae	Ruprechtia	fusca	0.7
Polygonaceae	Ruprechtia	laxiflora	0.6
Polygonaceae	Ruprechtia	triflora	0.62
Boraginaceae	Saccellium	brasiliense	0.92
Humiriaceae	Sacoglottis	cydonioides	0.78
Humiriaceae	Sacoglottis	guianensis	0.84
Humiriaceae	Sacoglottis	mattogrossensis	0.77
Euphorbiaceae	Sagotia	racemosa	0.58
Celastraceae	Salacia	elliptica	0.76
Salicaceae	Salix	chilensis	0.41
Vochysiaceae	Salvertia	convallariodora	0.65
Caprifoliaceae	Sambucus	peruviana	0.43
Meliaceae	Sandoricum	koetjape	0.56
Euphorbiaceae	Sandwithia	guyanensis	0.74
Sapindaceae	Sapindus	divaricatus	0.6
Sapindaceae	Sapindus	saponaria	0.69
Euphorbiaceae	Sapium	glandulosum	0.44
Euphorbiaceae	Sapium	haematospermum	0.33
Euphorbiaceae	Sapium	jenmanii	0.44
Euphorbiaceae	Sapium	laurocerasus	0.38
Euphorbiaceae	Sapium	macrocarpum	0.44
Euphorbiaceae	Sapium	marmieri	0.41
Euphorbiaceae	Sapium	pedicellatum	0.36
Euphorbiaceae	Sapium	stylare	0.47
Annonaceae	Sapranthus	palanga	0.63
Sapotaceae	Sarcaulus	brasiliensis	0.62
Actinidiaceae	Saurauia	laevigata	0.44
Podocarpaceae	Saxegothaea	conspicua	0.52
Araliaceae	Schefflera	decaphylla	0.45
Araliaceae	Schefflera	macrocarpa	0.57
Araliaceae	Schefflera	morototoni	0.44
Araliaceae	Schefflera	rodriguesiana	0.43
Anacardiaceae	Schinopsis	balansae	1.05
Anacardiaceae	Schinopsis	brasiliensis	1.23
Anacardiaceae	Schinopsis	haenkeana	1
Anacardiaceae	Schinopsis	quebracho-colorado	0.97
Anacardiaceae	Schinus	johnstonii	0.71
Anacardiaceae	Schinus	meyeri	0.53
Humiriaceae	Schistostemon	retusum	1
Fabaceae	Schizolobium	parahyba	0.41
Araliaceae	Sciadodendron	excelsum	0.53
Fabaceae	Sclerolobium	albiflorum	0.4
Fabaceae	Sclerolobium	aureum	0.7
Fabaceae	Sclerolobium	denudatum	0.63
Fabaceae	Sclerolobium	melanocarpum	0.61
Fabaceae	Sclerolobium	melinonii	0.56
Fabaceae	Sclerolobium	micropetalum	0.45
Fabaceae	Sclerolobium	paraense	0.69
Fabaceae	Sclerolobium	rugosum	0.69
Malvaceae	Scleronema	micranthum	0.6
Malvaceae	Scleronema	praecox	0.59
Rhamnaceae	Scutia	buxifolia	0.7
Euphorbiaceae	Sebastiania	brasiliensis	0.67
Euphorbiaceae	Sebastiania	commersoniana	0.63
Euphorbiaceae	Securinega	guaraiuva	0.9
Phytolaccaceae	Seguieria	langsdorffii	0.59
Euphorbiaceae	Senefeldera	inclinata	0.7
Euphorbiaceae	Senefeldera	macrophylla	0.86
Fabaceae	Senna	atomaria	0.8
Fabaceae	Senna	multijuga	0.58
Fabaceae	Senna	racemosa	0.54
Fabaceae	Senna	reticulata	0.45
Fabaceae	Senna	siamea	0.65
Fabaceae	Sesbania	grandiflora	0.41
Lauraceae	Sextonia	rubra	0.55
Sapotaceae	Sideroxylon	capiri	0.76
Sapotaceae	Sideroxylon	foetidissimum	0.9
Sapotaceae	Sideroxylon	obovatum	0.86
Sapotaceae	Sideroxylon	obtusifolium	0.77
Sapotaceae	Sideroxylon	portoricense	0.92
Sapotaceae	Sideroxylon	salicifolium	0.85
Simaroubaceae	Simaba	cedron	0.47
Simaroubaceae	Simaba	multiflora	0.34
Simaroubaceae	Simaba	orinocensis	0.42
Simaroubaceae	Simarouba	amara	0.38
Simaroubaceae	Simarouba	tulae	0.85
Simaroubaceae	Simarouba	versicolor	0.41
Rubiaceae	Simira	ecuadorensis	0.8
Rubiaceae	Simira	maxonii	0.62
Rubiaceae	Simira	rubescens	0.8
Rubiaceae	Simira	salvadorensis	0.52
Monimiaceae	Siparuna	cuspidata	0.65
Monimiaceae	Siparuna	decipiens	0.64
Monimiaceae	Siparuna	poeppigii	0.69
Elaeocarpaceae	Sloanea	berteriana	0.8
Elaeocarpaceae	Sloanea	echinocarpa	0.77
Elaeocarpaceae	Sloanea	eichleri	0.75
Elaeocarpaceae	Sloanea	fragrans	0.47
Elaeocarpaceae	Sloanea	grandiflora	0.81
Elaeocarpaceae	Sloanea	guianensis	0.82
Elaeocarpaceae	Sloanea	laurifolia	0.82
Elaeocarpaceae	Sloanea	megacarpa	0.86
Elaeocarpaceae	Sloanea	monosperma	0.88
Elaeocarpaceae	Sloanea	nitida	1.01
Elaeocarpaceae	Sloanea	petenensis	0.67
Elaeocarpaceae	Sloanea	robusta	0.86
Elaeocarpaceae	Sloanea	schomburgkii	0.87
Elaeocarpaceae	Sloanea	synandra	0.65
Arecaceae	Socratea	exorrhiza	0.23
Solanaceae	Solanum	acanthodes	0.32
Solanaceae	Solanum	aphyodendron	0.55
Solanaceae	Solanum	crinitum	0.24
Solanaceae	Solanum	granuloso-leprosum	0.4
Solanaceae	Solanum	pseudoquina	0.53
Solanaceae	Solanum	umbellatum	0.49
Moraceae	Sorocea	bonplandii	0.61
Moraceae	Sorocea	briquetii	0.6
Malpighiaceae	Spachea	elegans	0.6
Bignoniaceae	Sparattosperma	leucanthum	0.57
Bignoniaceae	Spathodea	campanulata	0.22
Anacardiaceae	Spondias	mombin	0.39
Anacardiaceae	Spondias	purpurea	0.33
Anacardiaceae	Spondias	radlkoferi	0.43
Rubiaceae	Stachyarrhena	acuminata	0.82
Apocynaceae	Stemmadenia	donnell-smithii	0.53
Apocynaceae	Stemmadenia	obovata	0.47
Malvaceae	Sterculia	aerisperma	0.62
Malvaceae	Sterculia	apetala	0.38
Malvaceae	Sterculia	caribaea	0.45
Malvaceae	Sterculia	excelsa	0.51
Malvaceae	Sterculia	frondosa	0.47
Malvaceae	Sterculia	pilosa	0.52
Malvaceae	Sterculia	pruriens	0.48
Malvaceae	Sterculia	recordiana	0.49
Malvaceae	Sterculia	rugosa	0.47
Malvaceae	Sterculia	speciosa	0.51
Rhizophoraceae	Sterigmapetalum	obovatum	0.77
Asteraceae	Stifftia	parviflora	0.62
Loganiaceae	Strychnos	erichsonii	0.54
Loganiaceae	Strychnos	glabra	0.54
Loganiaceae	Strychnos	rondeletioides	0.54
Loganiaceae	Strychnos	sandwithiana	0.54
Fabaceae	Stryphnodendron	adstringens	1.19
Fabaceae	Stryphnodendron	guianense	0.57
Fabaceae	Stryphnodendron	microstachyum	0.39
Fabaceae	Stryphnodendron	paniculatum	0.66
Fabaceae	Stryphnodendron	polystachyum	0.46
Fabaceae	Stryphnodendron	pulcherrimum	0.47
Fabaceae	Stryphnodendron	racemiferum	0.75
Myrsinaceae	Stylogyne	cauliflora	0.54
Styracaceae	Styrax	guyanensis	0.34
Styracaceae	Styrax	leprosus	0.41
Fabaceae	Swartzia	arborescens	0.83
Fabaceae	Swartzia	argentea	0.86
Fabaceae	Swartzia	bannia	0.99
Fabaceae	Swartzia	benthamiana	0.74
Fabaceae	Swartzia	brachyrachis	0.9
Fabaceae	Swartzia	corrugata	1.06
Fabaceae	Swartzia	cubensis	0.91
Fabaceae	Swartzia	cuspidata	0.68
Fabaceae	Swartzia	euxylophora	0.65
Fabaceae	Swartzia	fasciata	0.65
Fabaceae	Swartzia	grandifolia	1.03
Fabaceae	Swartzia	guatemalensis	0.89
Fabaceae	Swartzia	guianensis	0.73
Fabaceae	Swartzia	ingifolia	0.82
Fabaceae	Swartzia	laevicarpa	0.61
Fabaceae	Swartzia	laxiflora	0.9
Fabaceae	Swartzia	leblondii	0.83
Fabaceae	Swartzia	leiocalycina	0.93
Fabaceae	Swartzia	longicarpa	0.77
Fabaceae	Swartzia	macrostachya	0.92
Fabaceae	Swartzia	myrtifolia	0.9
Fabaceae	Swartzia	oblanceolata	0.86
Fabaceae	Swartzia	oblata	0.92
Fabaceae	Swartzia	panacoco	0.94
Fabaceae	Swartzia	pinnata	0.9
Fabaceae	Swartzia	polyphylla	0.69
Fabaceae	Swartzia	recurva	0.97
Fabaceae	Swartzia	remiger	0.84
Fabaceae	Swartzia	tomentifera	0.9
Fabaceae	Swartzia	tomentosa	0.96
Fabaceae	Swartzia	ulei	1
Fabaceae	Sweetia	fruticosa	0.9
Meliaceae	Swietenia	humilis	0.57
Meliaceae	Swietenia	macrophylla	0.53
Meliaceae	Swietenia	mahagoni	0.75
Polygonaceae	Symmeria	paniculata	0.67
Clusiaceae	Symphonia	globulifera	0.6
Symplocaceae	Symplocos	martinicensis	0.8
Symplocaceae	Symplocos	reflexa	0.49
Bignoniaceae	Tabebuia	aurea	0.76
Bignoniaceae	Tabebuia	barbata	0.7
Bignoniaceae	Tabebuia	billbergii	0.92
Bignoniaceae	Tabebuia	capitata	0.92
Bignoniaceae	Tabebuia	cassinoides	0.39
Bignoniaceae	Tabebuia	chrysantha	1.04
Bignoniaceae	Tabebuia	donnell-smithii	0.43
Bignoniaceae	Tabebuia	fluviatilis	0.58
Bignoniaceae	Tabebuia	guayacan	0.84
Bignoniaceae	Tabebuia	heptaphylla	0.89
Bignoniaceae	Tabebuia	heterophylla	0.57
Bignoniaceae	Tabebuia	impetiginosa	0.92
Bignoniaceae	Tabebuia	incana	1.06
Bignoniaceae	Tabebuia	insignis	0.53
Bignoniaceae	Tabebuia	lapacho	0.54
Bignoniaceae	Tabebuia	nodosa	0.69
Bignoniaceae	Tabebuia	obscura	1.21
Bignoniaceae	Tabebuia	ochracea	0.87
Bignoniaceae	Tabebuia	pallida	0.58
Bignoniaceae	Tabebuia	pedicellata	0.92
Bignoniaceae	Tabebuia	rosea	0.55
Bignoniaceae	Tabebuia	schumanniana	0.9
Bignoniaceae	Tabebuia	serratifolia	0.92
Bignoniaceae	Tabebuia	stenocalyx	0.56
Bignoniaceae	Tabebuia	vellosoi	0.99
Apocynaceae	Tabernaemontana	attenuata	0.5
Apocynaceae	Tabernaemontana	cymosa	0.47
Apocynaceae	Tabernaemontana	flavicans	0.49
Apocynaceae	Tabernaemontana	psychotriaefolia	0.39
Apocynaceae	Tabernaemontana	undulata	0.59
Fabaceae	Tachigali	cavipes	0.71
Fabaceae	Tachigali	chrysophylla	0.57
Fabaceae	Tachigali	colombiana	0.49
Fabaceae	Tachigali	guianensis	0.62
Fabaceae	Tachigali	hypoleuca	0.71
Fabaceae	Tachigali	micrantha	0.41
Fabaceae	Tachigali	multijuga	0.52
Fabaceae	Tachigali	myrmecophila	0.53
Fabaceae	Tachigali	paniculata	0.56
Fabaceae	Tachigali	peruviana	0.76
Fabaceae	Tachigali	polyphylla	0.64
Fabaceae	Tachigali	setifera	0.67
Fabaceae	Tachigali	versicolor	0.52
Magnoliaceae	Talauma	ovata	0.53
Malvaceae	Talipariti	elatum	0.6
Malvaceae	Talipariti	tiliaceum	0.54
Sapindaceae	Talisia	elephantipes	0.45
Sapindaceae	Talisia	esculenta	0.9
Sapindaceae	Talisia	macrophylla	0.94
Sapindaceae	Talisia	megaphylla	0.86
Sapindaceae	Talisia	microphylla	0.82
Sapindaceae	Talisia	pedicellaris	0.86
Sapindaceae	Talisia	reticulata	0.88
Sapindaceae	Talisia	squarrosa	0.86
Sapindaceae	Talisia	sylvatica	0.86
Anacardiaceae	Tapirira	guianensis	0.45
Anacardiaceae	Tapirira	obtusa	0.29
Dichapetalaceae	Tapura	acreana	0.62
Dichapetalaceae	Tapura	capitulifera	0.72
Dichapetalaceae	Tapura	guianensis	0.58
Fabaceae	Taralea	oppositifolia	0.89
Bignoniaceae	Tecoma	peroba	0.65
Bignoniaceae	Tecoma	stans	0.47
Combretaceae	Terminalia	amazonia	0.68
Combretaceae	Terminalia	argentea	0.82
Combretaceae	Terminalia	australis	0.56
Combretaceae	Terminalia	brasiliensis	0.77
Combretaceae	Terminalia	catappa	0.49
Combretaceae	Terminalia	dichotoma	0.71
Combretaceae	Terminalia	fagifolia	1
Combretaceae	Terminalia	guyanensis	0.73
Combretaceae	Terminalia	kuhlmannii	0.79
Combretaceae	Terminalia	lucida	0.65
Combretaceae	Terminalia	oblonga	0.76
Combretaceae	Terminalia	triflora	0.75
Theaceae	Ternstroemia	brasiliensis	0.47
Theaceae	Ternstroemia	browniana	0.69
Theaceae	Ternstroemia	congestiflora	0.6
Theaceae	Ternstroemia	dentata	0.69
Asteraceae	Tessaria	integrifolia	0.3
Burseraceae	Tetragastris	altissima	0.71
Burseraceae	Tetragastris	balsamifera	0.67
Burseraceae	Tetragastris	hostmannii	0.73
Burseraceae	Tetragastris	panamensis	0.72
Salicaceae	Tetrathylacium	macrophyllum	0.62
Euphorbiaceae	Tetrorchidium	rotundatum	0.47
Malvaceae	Theobroma	cacao	0.42
Malvaceae	Theobroma	obovatum	0.47
Malvaceae	Theobroma	speciosum	0.63
Malvaceae	Theobroma	subincanum	0.47
Malvaceae	Theobroma	sylvestre	0.67
Malvaceae	Thespesia	populnea	0.47
Apocynaceae	Thevetia	ovata	0.72
Sapindaceae	Thouinia	paucidentata	0.94
Sapindaceae	Thouinia	serrata	0.98
Sapindaceae	Thouinia	striata	0.9
Sapindaceae	Thouinidium	decandrum	0.67
Anacardiaceae	Thyrsodium	guianense	0.64
Anacardiaceae	Thyrsodium	spruceanum	0.64
Melastomataceae	Tibouchina	candolleana	0.61
Melastomataceae	Tibouchina	mutabilis	0.66
Fabaceae	Tipuana	tipu	0.6
Rubiaceae	Tocoyena	williamsii	0.62
Apocynaceae	Tonduzia	longifolia	0.85
Sapindaceae	Toulicia	eriocarpa	0.6
Sapindaceae	Toulicia	guianensis	0.72
Sapindaceae	Toulicia	laevigata	0.9
Sapindaceae	Toulicia	pulvinata	0.62
Boraginaceae	Tournefortia	fuliginosa	0.47
Quiinaceae	Touroulia	guianensis	0.76
Clusiaceae	Tovomita	carinata	0.41
Clusiaceae	Tovomita	choisyana	0.58
Clusiaceae	Tovomita	gracilipes	0.86
Clusiaceae	Tovomita	guianensis	0.6
Clusiaceae	Tovomita	macrophylla	0.86
Clusiaceae	Tovomita	umbellata	0.86
Burseraceae	Trattinnickia	aspera	0.42
Burseraceae	Trattinnickia	burserifolia	0.46
Burseraceae	Trattinnickia	demerarae	0.42
Burseraceae	Trattinnickia	glaziovii	0.52
Burseraceae	Trattinnickia	lawrancei	0.45
Burseraceae	Trattinnickia	peruviana	0.56
Burseraceae	Trattinnickia	rhoifolia	0.45
Malvaceae	Trema	integerrima	0.3
Ulmaceae	Trema	micrantha	0.35
Acanthaceae	Trichanthera	gigantea	0.45
Meliaceae	Trichilia	americana	0.57
Meliaceae	Trichilia	havanensis	0.55
Meliaceae	Trichilia	hirta	0.55
Meliaceae	Trichilia	lecointei	0.9
Meliaceae	Trichilia	martiana	0.47
Meliaceae	Trichilia	maynasiana	0.69
Meliaceae	Trichilia	micrantha	0.61
Meliaceae	Trichilia	moschata	0.88
Meliaceae	Trichilia	pallida	0.7
Meliaceae	Trichilia	pleeana	0.67
Meliaceae	Trichilia	quadrijuga	0.55
Meliaceae	Trichilia	rubra	0.59
Meliaceae	Trichilia	schomburgkii	0.69
Meliaceae	Trichilia	silvatica	0.84
Meliaceae	Trichilia	surinamensis	0.46
Meliaceae	Trichilia	trifolia	0.8
Meliaceae	Trichilia	tuberculata	0.63
Malvaceae	Trichospermum	galeottii	0.27
Malvaceae	Trichospermum	mexicanum	0.37
Polygonaceae	Triplaris	americana	0.49
Polygonaceae	Triplaris	cumingiana	0.52
Polygonaceae	Triplaris	gardneriana	0.63
Polygonaceae	Triplaris	melaenodendron	0.6
Polygonaceae	Triplaris	peruviana	0.52
Polygonaceae	Triplaris	poeppigiana	0.49
Polygonaceae	Triplaris	weigeltiana	0.49
Moraceae	Trophis	caucana	0.47
Moraceae	Trophis	mexicana	0.68
Moraceae	Trophis	racemosa	0.66
Moraceae	Trymatococcus	amazonicus	0.66
Moraceae	Trymatococcus	oligandrus	0.61
Staphyleaceae	Turpinia	occidentalis	0.34
Ulmaceae	Ulmus	mexicana	0.55
Annonaceae	Unonopsis	floribunda	0.42
Annonaceae	Unonopsis	glaucopetala	0.62
Annonaceae	Unonopsis	guatterioides	0.52
Annonaceae	Unonopsis	pittieri	0.37
Annonaceae	Unonopsis	rufescens	0.61
Annonaceae	Unonopsis	spectabilis	0.62
Annonaceae	Unonopsis	stipitata	0.69
Annonaceae	Unonopsis	veneficiorum	0.44
Urticaceae	Urera	baccifera	0.17
Urticaceae	Urera	caracasana	0.38
Urticaceae	Urera	elata	0.49
Humiriaceae	Vantanea	barbourii	0.7
Humiriaceae	Vantanea	compacta	0.91
Humiriaceae	Vantanea	macrocarpa	0.83
Humiriaceae	Vantanea	micrantha	0.98
Humiriaceae	Vantanea	paraensis	0.77
Humiriaceae	Vantanea	parviflora	0.84
Caricaceae	Vasconcellea	pulchra	0.22
Solanaceae	Vassobia	breviflora	0.55
Fabaceae	Vatairea	guianensis	0.68
Fabaceae	Vatairea	lundellii	0.62
Fabaceae	Vatairea	macrocarpa	0.78
Fabaceae	Vatairea	paraensis	0.71
Fabaceae	Vatairea	sericea	0.64
Fabaceae	Vataireopsis	araroba	0.68
Fabaceae	Vataireopsis	speciosa	0.66
Fabaceae	Vataireopsis	surinamensis	0.57
Asteraceae	Vernonanthura	patens	0.54
Caprifoliaceae	Viburnum	seemenii	0.54
Myristicaceae	Virola	albidiflora	0.45
Myristicaceae	Virola	bicuhyba	0.55
Myristicaceae	Virola	caducifolia	0.46
Myristicaceae	Virola	calophylla	0.51
Myristicaceae	Virola	carinata	0.58
Myristicaceae	Virola	elongata	0.52
Myristicaceae	Virola	flexuosa	0.51
Myristicaceae	Virola	gardneri	0.45
Myristicaceae	Virola	guatemalensis	0.52
Myristicaceae	Virola	koschnyi	0.41
Myristicaceae	Virola	michelii	0.47
Myristicaceae	Virola	multicostata	0.45
Myristicaceae	Virola	multiflora	0.46
Myristicaceae	Virola	multinervia	0.62
Myristicaceae	Virola	oleifera	0.61
Myristicaceae	Virola	pavonis	0.59
Myristicaceae	Virola	reidii	0.35
Myristicaceae	Virola	sebifera	0.46
Myristicaceae	Virola	surinamensis	0.42
Myristicaceae	Virola	venosa	0.62
Clusiaceae	Vismia	baccifera	0.43
Clusiaceae	Vismia	brasiliensis	0.64
Clusiaceae	Vismia	cayennensis	0.49
Clusiaceae	Vismia	guianensis	0.48
Clusiaceae	Vismia	latifolia	0.43
Clusiaceae	Vismia	macrophylla	0.49
Verbenaceae	Vitex	cymosa	0.55
Verbenaceae	Vitex	divaricata	0.62
Verbenaceae	Vitex	excelsa	0.52
Verbenaceae	Vitex	gaumeri	0.56
Verbenaceae	Vitex	gigantea	0.52
Verbenaceae	Vitex	megapotamica	0.81
Verbenaceae	Vitex	orinocensis	0.53
Verbenaceae	Vitex	stahelii	0.58
Vochysiaceae	Vochysia	aurantiaca	0.39
Vochysiaceae	Vochysia	bifalcata	0.5
Vochysiaceae	Vochysia	braceliniae	0.39
Vochysiaceae	Vochysia	cayennensis	0.37
Vochysiaceae	Vochysia	cinnamomea	0.75
Vochysiaceae	Vochysia	densiflora	0.36
Vochysiaceae	Vochysia	divergens	0.52
Vochysiaceae	Vochysia	ferruginea	0.4
Vochysiaceae	Vochysia	guatemalensis	0.35
Vochysiaceae	Vochysia	guianensis	0.51
Vochysiaceae	Vochysia	haenkeana	0.6
Vochysiaceae	Vochysia	lanceolata	0.53
Vochysiaceae	Vochysia	lehmannii	0.44
Vochysiaceae	Vochysia	macrophylla	0.36
Vochysiaceae	Vochysia	magnifica	0.78
Vochysiaceae	Vochysia	maxima	0.49
Vochysiaceae	Vochysia	neyratii	0.47
Vochysiaceae	Vochysia	obidensis	0.5
Vochysiaceae	Vochysia	speciosa	0.47
Vochysiaceae	Vochysia	surinamensis	0.6
Vochysiaceae	Vochysia	tetraphylla	0.47
Vochysiaceae	Vochysia	thyrsoidea	0.58
Vochysiaceae	Vochysia	tomentosa	0.38
Fabaceae	Vouacapoua	americana	0.79
Fabaceae	Vouacapoua	macropetala	0.79
Sapindaceae	Vouarana	guianensis	0.84
Ochnaceae	Wallacea	insignis	0.65
Rubiaceae	Warszewiczia	coccinea	0.56
Rubiaceae	Warszewiczia	cordata	0.58
Cunoniaceae	Weinmannia	glabra	0.59
Cunoniaceae	Weinmannia	trichosperma	0.52
Cunoniaceae	Weinmannia	wercklei	0.49
Arecaceae	Welfia	regia	0.4
Olacaceae	Ximenia	americana	0.83
Annonaceae	Xylopia	amazonica	0.79
Annonaceae	Xylopia	aromatica	0.55
Annonaceae	Xylopia	benthamii	0.6
Annonaceae	Xylopia	brasiliensis	0.7
Annonaceae	Xylopia	columbiana	0.51
Annonaceae	Xylopia	cuspidata	0.51
Annonaceae	Xylopia	discreta	0.52
Annonaceae	Xylopia	emarginata	0.59
Annonaceae	Xylopia	frutescens	0.59
Annonaceae	Xylopia	ligustrifolia	0.6
Annonaceae	Xylopia	macrantha	0.87
Annonaceae	Xylopia	nitida	0.55
Annonaceae	Xylopia	parviflora	0.6
Annonaceae	Xylopia	polyantha	0.6
Annonaceae	Xylopia	sericophylla	0.54
Annonaceae	Xylopia	surinamensis	0.6
Salicaceae	Xylosma	intermedia	0.77
Salicaceae	Xylosma	longipetiolata	0.62
Salicaceae	Xylosma	pubescens	0.59
Rutaceae	Zanthoxylum	apiculatum	0.42
Rutaceae	Zanthoxylum	caribaeum	0.76
Rutaceae	Zanthoxylum	coco	0.5
Rutaceae	Zanthoxylum	fagara	0.65
Rutaceae	Zanthoxylum	flavum	0.78
Rutaceae	Zanthoxylum	hermaphroditum	0.71
Rutaceae	Zanthoxylum	martinicense	0.57
Rutaceae	Zanthoxylum	monogynum	0.9
Rutaceae	Zanthoxylum	panamense	0.49
Rutaceae	Zanthoxylum	pentandrum	0.67
Rutaceae	Zanthoxylum	quinduense	0.7
Rutaceae	Zanthoxylum	rhoifolium	0.5
Rutaceae	Zanthoxylum	riedelianum	0.48
Rutaceae	Zanthoxylum	rigidum	0.64
Rutaceae	Zanthoxylum	schreberi	0.76
Rutaceae	Zanthoxylum	setulosum	0.47
Bignoniaceae	Zeyheria	tuberculosa	0.77
Rhamnaceae	Ziziphus	amole	0.94
Rhamnaceae	Ziziphus	mistol	0.87
Rhamnaceae	Ziziphus	thyrsiflora	0.88
Fabaceae	Zollernia	ilicifolia	1.05
Fabaceae	Zollernia	latifolia	0.99
Fabaceae	Zollernia	paraensis	1
Salicaceae	Zuelania	guidonia	0.56
Fabaceae	Zygia	coccinea	0.69
Fabaceae	Zygia	juruana	0.69
Fabaceae	Zygia	latifolia	0.75
Fabaceae	Zygia	longifolia	0.71
Fabaceae	Zygia	racemosa	0.75
