"","Tag.No","Old.No","T1","T2","X","Y","Family","genus","species","Old.Tree.Notes","D..2013.1","POM..2013.1","F1..2013.1","F2..2013.1","Height..2013.1","F5..2013.1","F3..2013.1","F4..2013.1","LI..2013.1","CI..2013.1","Census.Notes..2013.1","D..2014.2","POM..2014.2","F1","F2","Height..2014.2","F5","F3","F4","LI..2014.2","CI..2014.2","Tree.ID","D..2015.1","POM..2015.1","F1.1","F2.1","Height..2015.1","F5.1","F3.1","F4.1","LI..2015.1","CI..2015.1","Census.Notes","Tree.ID.1","New.Tag.No","wdensity","height","density","tag","plot","DBH.1","DBH.2","DBH.3","dbh_growth_yr","recruits","srink","missing","overgrown","value_replaced"
"198",196,NA,6,NA,NA,NA,"Asteraceae","Pentacalia","indet",NA,126,1300,"a",1,15,4,0,0,0,1,NA,157,1300,"a","1",NA,NA,0,0,NA,NA,1105578,0,1300,"0","1",0,NA,0,0,NA,NA,"es liana",1105578,NA,0.622639616,7.5,0.622639616,"196","ACJ-01",12.6,15.7,15.7,2.71342925659472,"ok","shrunk.dbh.3","ok","ok",NA
"199",197,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,210,1300,"a",1,11,4,0,0,0,1,NA,210,1300,"a","1",NA,NA,0,0,NA,NA,1105579,216,1300,"a","1",10000,NA,0,0,3,"3b",NA,1105579,NA,0.639235706846016,10.5,0.639235706846016,"197","ACJ-01",21,21,21.6,0,"ok","ok","ok","ok",NA
"200",198,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,108,1300,"a",1,8,4,0,0,0,1,NA,109,1300,"a","1",NA,NA,0,0,NA,NA,1105580,111,1300,"a","1",7000,NA,0,0,1,"2a",NA,1105580,NA,0.540014577613546,7.5,0.540014577613546,"198","ACJ-01",10.8,10.9,11.1,0.0875299760191843,"ok","ok","ok","ok",NA
"201",199,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,195,1300,"a",1,9,4,0,0,0,1,NA,199,1300,"a","1",NA,NA,0,0,NA,NA,1105581,206,1300,"a","1",9000,NA,0,0,0,"3a",NA,1105581,NA,0.540014577613546,9,0.540014577613546,"199","ACJ-01",19.5,19.9,20.6,0.350119904076737,"ok","ok","ok","ok",NA
"202",200,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,193,1300,"a",1,9,4,0,0,0,1,NA,195,1300,"a","1",NA,NA,0,0,NA,NA,1105582,203,1300,"a","1",8000,NA,0,0,0,"3a",NA,1105582,NA,0.540014577613546,8.5,0.540014577613546,"200","ACJ-01",19.3,19.5,20.3,0.175059952038369,"ok","ok","ok","ok",NA
"203",201,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,226,1300,"a",1,8,4,0,0,0,1,NA,227,1300,"ch","1",NA,NA,0,0,NA,NA,1105583,225,1300,"ch","1",9000,NA,0,0,0,"2a",NA,1105583,NA,0.599808019773585,8.5,0.599808019773585,"201","ACJ-01",22.6,22.7,22.5,0.0875299760191828,"ok","ok","ok","ok",NA
"204",202,NA,6,201,NA,NA,"Melastomataceae","Miconia","setulosa",NA,205,1300,"a",1,8,4,0,0,0,1,NA,204,1300,"ch","1",NA,NA,0,0,NA,NA,1105584,203,1300,"ch","1",10000,NA,0,0,0,"2b",NA,1105584,NA,0.599808019773585,9,0.599808019773585,"202","ACJ-01",20.5,20.4,20.3,-0.0875299760191859,"ok","ok","ok","ok",NA
"205",203,NA,6,201,NA,NA,"Melastomataceae","Miconia","setulosa",NA,157,1300,"a",1,9,4,0,0,0,1,NA,157,1300,"ah","1",NA,NA,0,0,NA,NA,1105585,159,1300,"ch","1",6000,NA,0,0,0,"3b",NA,1105585,NA,0.599808019773585,7.5,0.599808019773585,"203","ACJ-01",15.7,15.7,15.9,0,"ok","ok","ok","ok",NA
"206",204,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,174,1300,"a",1,9,4,0,0,0,1,NA,187,1300,"ah","1",NA,NA,0,0,NA,NA,1105586,189,1300,"ah","1",10000,NA,0,0,0,"3b","POM por encima de placa",1105586,NA,0.599808019773585,9.5,0.599808019773585,"204","ACJ-01",17.4,18.7,18.9,1.1378896882494,"ok","ok","ok","ok",NA
"207",205,NA,6,204,NA,NA,"Melastomataceae","Miconia","setulosa",NA,440,1300,"a",1,9,4,0,0,0,1,NA,445,1300,"c","1",NA,NA,0,0,NA,NA,1105587,439,1300,"ch","1",9000,NA,0,0,0,"2a",NA,1105587,NA,0.599808019773585,9,0.599808019773585,"205","ACJ-01",44,44.5,43.9,0.437649880095923,"ok","ok","ok","ok",NA
"208",206,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,211,1300,"a",1,7,4,0,0,0,1,NA,222,1300,"c","1",NA,NA,0,0,NA,NA,1105588,213,1300,"c","1",7000,NA,0,0,0,"3b",NA,1105588,NA,0.639235706846016,7,0.639235706846016,"206","ACJ-01",21.1,22.2,21.3,0.962829736211029,"ok","ok","ok","ok",NA
"209",207,NA,6,206,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,157,1300,"a",1,8,4,0,0,0,1,NA,188,1300,"c","1",NA,NA,0,0,NA,NA,1105589,158,1300,"ch","1",9000,NA,0,0,2,"2b",NA,1105589,NA,0.639235706846016,8.5,0.639235706846016,"207","ACJ-01",15.7,18.8,18.8,2.71342925659473,"ok","shrunk.dbh.3","ok","ok",NA
"210",208,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,178,1300,"a",1,9,4,0,0,0,1,NA,181,1300,"c","1",NA,NA,0,0,NA,NA,1105590,193,1300,"ch","1",8000,NA,0,0,0,"2b",NA,1105590,NA,0.599808019773585,8.5,0.599808019773585,"208","ACJ-01",17.8,18.1,19.3,0.262589928057555,"ok","ok","ok","ok",NA
"211",209,NA,6,208,NA,NA,"Melastomataceae","Miconia","setulosa",NA,101,1300,"a",1,5,4,0,0,0,1,NA,102,1300,"a","1",NA,NA,0,0,NA,NA,1105591,111,1300,"a","1",6000,NA,0,0,0,"2b",NA,1105591,NA,0.599808019773585,5.5,0.599808019773585,"209","ACJ-01",10.1,10.2,11.1,0.0875299760191843,"ok","ok","ok","ok",NA
"212",210,NA,6,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,101,1300,"a",1,8,4,0,0,0,1,NA,104,1300,"c","1",NA,NA,0,0,NA,NA,1105592,103,1300,"c","1",7000,NA,0,0,0,"3a",NA,1105592,NA,0.574563977,7.5,0.574563977,"210","ACJ-01",10.1,10.4,10.3,0.262589928057555,"ok","ok","ok","ok",NA
"213",211,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,193,1300,"a",1,8,4,0,0,0,1,NA,206,1300,"d","1",NA,NA,0,0,NA,NA,1105593,204,1300,"c","1",7500,NA,0,0,0,"3a",NA,1105593,NA,0.639235706846016,7.75,0.639235706846016,"211","ACJ-01",19.3,20.6,20.4,1.1378896882494,"ok","ok","ok","ok",NA
"214",212,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,117,1300,"a",1,8.5,4,0,0,0,1,NA,196,1300,"d","1",NA,NA,0,0,NA,NA,1105594,117,1300,"a","1",9000,NA,0,0,0,"3b",NA,1105594,NA,0.639235706846016,8.75,0.639235706846016,"212","ACJ-01",11.7,17.4123287671233,19.6,6.91486810551559,"ok","shrunk.dbh.3","ok",">2cm growth per yr dbh.2",19.6
"215",213,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,305,1300,"a",1,12,4,0,0,0,1,NA,352,1300,"c","1",NA,NA,0,0,NA,NA,1105595,347,1300,"c","1",11000,NA,0,0,0,"4",NA,1105595,NA,0.540014577613546,11.5,0.540014577613546,"213","ACJ-01",30.5,35.2,34.7,4.11390887290168,"ok","ok","ok","ok",NA
"216",214,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,121,1300,"a",1,9,4,0,0,0,1,NA,124,1300,"a","1",NA,NA,0,0,NA,NA,1105596,125,1300,"a","1",5000,NA,0,0,0,"3b",NA,1105596,NA,0.540014577613546,7,0.540014577613546,"214","ACJ-01",12.1,12.4,12.5,0.262589928057555,"ok","ok","ok","ok",NA
"217",215,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,158,1300,"a",1,7,4,0,0,0,1,NA,170,1300,"a","1",NA,NA,0,0,NA,NA,1105597,170,1300,"c","1",8000,NA,0,0,0,"3a",NA,1105597,NA,0.599808019773585,7.5,0.599808019773585,"215","ACJ-01",15.8,17,17,1.05035971223022,"ok","ok","ok","ok",NA
"218",216,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,183,1300,"a",1,10,4,0,0,0,1,NA,177,1300,"c","1",NA,NA,0,0,NA,NA,1105598,183,1300,"c","1",11000,NA,0,0,0,"4",NA,1105598,NA,0.540014577613546,10.5,0.540014577613546,"216","ACJ-01",18.3,17.7,18.3,-0.525179856115109,"ok","ok","ok","ok",NA
"219",217,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,325,1300,"a",1,12,4,0,0,0,1,NA,342,1300,"c","1",NA,NA,0,0,NA,NA,1105599,338,1300,"c","1",11000,NA,0,0,1,"3b",NA,1105599,NA,0.639235706846016,11.5,0.639235706846016,"217","ACJ-01",32.5,34.2,33.8,1.48800959232614,"ok","ok","ok","ok",NA
"220",218,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,100,1300,"a",1,5,4,0,0,0,1,NA,102,1300,"c","1",NA,NA,0,0,NA,NA,1105600,102,1300,"c","1",5000,NA,0,0,0,"1",NA,1105600,NA,0.599808019773585,5,0.599808019773585,"218","ACJ-01",10,10.2,10.2,0.175059952038369,"ok","ok","ok","ok",NA
"221",219,NA,6,218,NA,NA,"Melastomataceae","Miconia","setulosa",NA,135,1300,"a",1,6,4,0,0,0,1,NA,138,1300,"a","1",NA,NA,0,0,NA,NA,1105601,140,1300,"a","1",6000,NA,0,0,1,"3b",NA,1105601,NA,0.599808019773585,6,0.599808019773585,"219","ACJ-01",13.5,13.8,14,0.262589928057555,"ok","ok","ok","ok",NA
"222",220,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,158,1300,"a",1,7,4,0,0,0,1,NA,161,1300,"c","1",NA,NA,0,0,NA,NA,1105602,165,1300,"c","1",6000,NA,0,0,0,"1",NA,1105602,NA,0.599808019773585,6.5,0.599808019773585,"220","ACJ-01",15.8,16.1,16.5,0.262589928057555,"ok","ok","ok","ok",NA
"223",221,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,113,1300,"a",1,5,4,0,0,0,1,NA,115,1300,"d","1",NA,NA,0,0,NA,NA,1105603,116,1300,"c","1",5000,NA,0,0,1,"2a",NA,1105603,NA,0.599808019773585,5,0.599808019773585,"221","ACJ-01",11.3,11.5,11.6,0.175059952038369,"ok","ok","ok","ok",NA
"224",222,NA,6,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,121,1300,"a",1,6,4,0,0,0,1,NA,122,1300,"c","1",NA,NA,0,0,NA,NA,1105604,121,1300,"c","1",6500,NA,0,0,1,"2a",NA,1105604,NA,0.574563977,6.25,0.574563977,"222","ACJ-01",12.1,12.2,12.1,0.0875299760191843,"ok","ok","ok","ok",NA
"225",223,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,156,1300,"a",1,6,4,0,0,0,1,NA,161,1300,"c","1",NA,NA,0,0,NA,NA,1105605,163,1300,"c","1",6000,NA,0,0,1,"3b",NA,1105605,NA,0.599808019773585,6,0.599808019773585,"223","ACJ-01",15.6,16.1,16.3,0.437649880095925,"ok","ok","ok","ok",NA
"226",224,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,147,1300,"a",1,12,4,0,0,0,1,NA,151,1300,"c","1",NA,NA,0,0,NA,NA,1105606,153,1300,"a","1",11000,NA,0,0,0,"3b",NA,1105606,NA,0.540014577613546,11.5,0.540014577613546,"224","ACJ-01",14.7,15.1,15.3,0.350119904076739,"ok","ok","ok","ok",NA
"227",225,NA,6,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,102,1300,"a",1,6,4,0,0,0,1,NA,101,1300,"c","1",NA,NA,0,0,NA,NA,1105607,112,1300,"c","1",5000,NA,0,0,1,"2a",NA,1105607,NA,0.574563977,5.5,0.574563977,"225","ACJ-01",10.2,10.1,11.2,-0.0875299760191843,"ok","ok","ok","ok",NA
"228",226,NA,6,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,395,1300,"a",1,7,4,0,0,0,1,NA,397,1300,"c","1",NA,NA,0,0,NA,NA,1105608,410,1300,"c","1",12000,NA,0,0,3,"3b","D estimado cubierto por musgo",1105608,NA,0.639235706846016,9.5,0.639235706846016,"226","ACJ-01",39.5,39.7,41,0.175059952038372,"ok","ok","ok","ok",NA
"229",227,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,252,1300,"a",1,8,4,0,0,0,1,NA,253,1300,"a","1",NA,NA,0,0,NA,NA,1105609,255,1300,"a","1",10000,NA,0,0,0,"4",NA,1105609,NA,0.540014577613546,9,0.540014577613546,"227","ACJ-01",25.2,25.3,25.5,0.0875299760191859,"ok","ok","ok","ok",NA
"230",228,NA,6,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,119,1300,"a",1,7,4,0,0,0,1,NA,117,1300,"ch","1",NA,NA,0,0,NA,NA,1105610,118,1300,"ci","1",9000,NA,0,0,0,"1",NA,1105610,NA,0.574563977,8,0.574563977,"228","ACJ-01",11.9,11.7,11.8,-0.17505995203837,"ok","ok","ok","ok",NA
"231",229,NA,6,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,203,1300,"a",1,9,4,0,0,0,1,NA,207,1300,"c","1",NA,NA,0,0,NA,NA,1105611,207,1300,"c","1",10000,NA,0,0,0,"3a",NA,1105611,NA,0.574563977,9.5,0.574563977,"229","ACJ-01",20.3,20.7,20.7,0.350119904076737,"ok","ok","ok","ok",NA
"232",230,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,135,1300,"a",1,7,4,0,0,0,1,NA,139,1300,"ch","1",NA,NA,0,0,NA,NA,1105612,142,1300,"cz","1",6000,NA,0,0,1,"2a",NA,1105612,NA,0.599808019773585,6.5,0.599808019773585,"230","ACJ-01",13.5,13.9,14.2,0.350119904076739,"ok","ok","ok","ok",NA
"233",231,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,110,1300,"a",1,9,4,0,0,0,1,NA,114,1300,"c","1",NA,NA,0,0,NA,NA,1105613,123,1300,"c","1",7000,NA,0,0,0,"3a",NA,1105613,NA,0.599808019773585,8,0.599808019773585,"231","ACJ-01",11,11.4,12.3,0.350119904076739,"ok","ok","ok","ok",NA
"234",232,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,157,1300,"a",1,8,4,0,0,0,1,NA,162,1300,"a","1",NA,NA,0,0,NA,NA,1105614,173,1300,"a","1",9000,NA,0,0,0,"4",NA,1105614,NA,0.540014577613546,8.5,0.540014577613546,"232","ACJ-01",15.7,16.2,17.3,0.437649880095923,"ok","ok","ok","ok",NA
"235",233,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,111,1300,"a",1,6,4,0,0,0,1,NA,123,1300,"c","1",NA,NA,0,0,NA,NA,1105615,113,1300,"c","1",5000,NA,0,0,0,"2a",NA,1105615,NA,0.599808019773585,5.5,0.599808019773585,"233","ACJ-01",11.1,12.3,11.3,1.05035971223022,"ok","ok","ok","ok",NA
"236",234,NA,6,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,132,1300,"a",1,6,4,0,0,0,1,NA,134,1300,"ch","1",NA,NA,0,0,NA,NA,1105616,135,1300,"ci","1",8000,NA,0,0,0,"2a",NA,1105616,NA,0.599808019773585,7,0.599808019773585,"234","ACJ-01",13.2,13.4,13.5,0.17505995203837,"ok","ok","ok","ok",NA
"237",235,NA,6,234,NA,NA,"Melastomataceae","Miconia","setulosa",NA,107,1300,"a",1,6,4,0,0,0,1,NA,110,1300,"ch","1",NA,NA,0,0,NA,NA,1105617,110,1300,"c","1",6000,NA,0,0,1,"1",NA,1105617,NA,0.599808019773585,6,0.599808019773585,"235","ACJ-01",10.7,11,11,0.262589928057555,"ok","ok","ok","ok",NA
"238",236,NA,6,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,324,1300,"a",1,10,4,0,0,0,1,NA,342,1300,"a","1",NA,NA,0,0,NA,NA,1105618,336,1300,"a","1",NA,NA,0,0,NA,NA,NA,1105618,NA,0.599808019773585,10,0.599808019773585,"236","ACJ-01",32.4,34.2,33.6,1.57553956834533,"ok","ok","ok","ok",NA
"239",237,NA,6,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,260,1300,"a",1,6,4,0,0,0,1,NA,300,1300,"c","1",NA,NA,0,0,NA,NA,1105619,0,1300,"0","1",0,NA,0,0,NA,NA,NA,1105619,NA,0.599808019773585,3,0.599808019773585,"237","ACJ-01",26,30,30,3.50119904076739,"ok","shrunk.dbh.3","ok","ok",NA
"240",238,NA,6,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,492,1300,"a",1,11,4,0,0,0,1,NA,0,1300,"0","kru",NA,NA,0,0,NA,NA,1105620,492,1300,"c","1",15000,NA,0,0,2,"4",NA,1105620,NA,0.540014577613546,13,0.540014577613546,"238","ACJ-01",49.2,49.2,49.2,-43.0647482014388,"ok","shrunk.dbh.2","ok","ok",NA
"241",239,NA,7,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,178,1300,"a",1,12,4,0,0,0,1,NA,182,1300,"a","1",NA,NA,0,0,NA,NA,1105621,175,1300,"a","1",12000,NA,0,0,2,"3b",NA,1105621,NA,0.540014577613546,12,0.540014577613546,"239","ACJ-01",17.8,18.2,17.5,0.350119904076737,"ok","ok","ok","ok",NA
"242",240,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,221,1300,"a",1,12,4,0,0,0,1,NA,224,1300,"a","1",NA,NA,0,0,NA,NA,1105622,223,1300,"a","1",13000,NA,0,0,3,"3b",NA,1105622,NA,0.574563977,12.5,0.574563977,"240","ACJ-01",22.1,22.4,22.3,0.262589928057551,"ok","ok","ok","ok",NA
"243",241,NA,7,NA,NA,NA,"Chloranthaceae","Hedyosmum","indet",NA,346,1300,"a",1,12,4,0,0,0,1,NA,355,1300,"c","1",NA,NA,0,0,NA,NA,1105623,351,1300,"ch","1",12000,NA,0,0,1,"3b",NA,1105623,NA,0.430781927700787,12,0.430781927700787,"241","ACJ-01",34.6,35.5,35.1,0.787769784172661,"ok","ok","ok","ok",NA
"244",242,NA,7,241,NA,NA,"Chloranthaceae","Hedyosmum","indet",NA,305,1300,"a",1,12,4,0,0,0,1,NA,309,1300,"d","1",NA,NA,0,0,NA,NA,1105624,305,1300,"b","1",5000,NA,0,0,0,"2a","b=3000",1105624,NA,0.430781927700787,8.5,0.430781927700787,"242","ACJ-01",30.5,30.9,30.5,0.350119904076737,"ok","ok","ok","ok",NA
"245",243,NA,7,241,NA,NA,"Chloranthaceae","Hedyosmum","indet",NA,356,1300,"a",1,12,4,0,0,0,1,NA,331,1300,"a","1",NA,NA,0,0,NA,NA,1105625,361,1300,"c","1",11000,NA,0,0,0,"2b",NA,1105625,NA,0.430781927700787,11.5,0.430781927700787,"243","ACJ-01",35.6,33.1,36.1,-2.18824940047962,"ok","ok","ok","ok",NA
"246",244,NA,7,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,116,1300,"a",1,5,4,0,0,0,1,NA,0,1300,"0","kqu",NA,NA,0,0,NA,NA,1105626,0,1300,"0","kqu",0,NA,0,0,NA,NA,NA,1105626,NA,0.599808019773585,2.5,0.599808019773585,"244","ACJ-01",11.6,11.6,11.6,-10.1534772182254,"ok","shrunk.dbh.3","ok","ok",NA
"247",245,NA,7,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,134,1300,"a",1,5,4,0,0,0,1,NA,0,1300,"0","kqu",NA,NA,0,0,NA,NA,1105627,0,1300,"0","kqu",0,NA,0,0,NA,NA,NA,1105627,NA,0.599808019773585,2.5,0.599808019773585,"245","ACJ-01",13.4,13.4,13.4,-11.7290167865707,"ok","shrunk.dbh.3","ok","ok",NA
"248",246,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,112,1300,"a",1,6,4,0,0,0,1,NA,114,1300,"a","1",NA,NA,0,0,NA,NA,1105628,114,1300,"a","1",6000,NA,0,0,0,"2b",NA,1105628,NA,0.574563977,6,0.574563977,"246","ACJ-01",11.2,11.4,11.4,0.17505995203837,"ok","ok","ok","ok",NA
"249",247,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,125,1300,"a",1,12,4,0,0,0,1,NA,131,1300,"c","1",NA,NA,0,0,NA,NA,1105629,129,1300,"c","1",6000,NA,0,0,0,"3a",NA,1105629,NA,0.574563977,9,0.574563977,"247","ACJ-01",12.5,13.1,12.9,0.525179856115108,"ok","ok","ok","ok",NA
"250",248,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,145,1300,"a",1,12,4,0,0,0,1,NA,149,1300,"c","1",NA,NA,0,0,NA,NA,1105630,148,1300,"c","1",6000,NA,0,0,0,"2b",NA,1105630,NA,0.574563977,9,0.574563977,"248","ACJ-01",14.5,14.9,14.8,0.350119904076739,"ok","ok","ok","ok",NA
"251",249,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,101,1300,"a",1,12,4,0,0,0,1,NA,104,1300,"c","1",NA,NA,0,0,NA,NA,1105631,104,1300,"ci","1",5000,NA,0,0,0,"2a",NA,1105631,NA,0.574563977,8.5,0.574563977,"249","ACJ-01",10.1,10.4,10.4,0.262589928057555,"ok","ok","ok","ok",NA
"252",250,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","baehnii",NA,183,1300,"a",1,10,4,0,0,0,1,NA,187,1300,"a","1",NA,NA,0,0,NA,NA,1105632,190,1300,"c","1",8000,NA,0,0,1,"3a",NA,1105632,NA,0.574563977,9,0.574563977,"250","ACJ-01",18.3,18.7,19,0.350119904076737,"ok","ok","ok","ok",NA
"253",251,NA,7,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,140,1300,"a",1,10,4,0,0,0,1,NA,153,1300,"c","1",NA,NA,0,0,NA,NA,1105633,141,1300,"c","1",6000,NA,0,0,2,"2b",NA,1105633,NA,0.639235706846016,8,0.639235706846016,"251","ACJ-01",14,15.3,14.1,1.1378896882494,"ok","ok","ok","ok",NA
"254",252,NA,7,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,184,1300,"a",1,12,4,0,0,0,1,NA,182,1300,"c","1",NA,NA,0,0,NA,NA,1105634,193,1300,"c","1",7000,NA,0,0,2,"2b",NA,1105634,NA,0.540014577613546,9.5,0.540014577613546,"252","ACJ-01",18.4,18.2,19.3,-0.175059952038369,"ok","ok","ok","ok",NA
"255",253,NA,7,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,133,1300,"a",1,10,4,0,0,0,1,NA,133,1300,"c","1",NA,NA,0,0,NA,NA,1105635,134,1300,"c","1",7000,NA,0,0,1,"2b",NA,1105635,NA,0.639235706846016,8.5,0.639235706846016,"253","ACJ-01",13.3,13.3,13.4,0,"ok","ok","ok","ok",NA
"256",254,NA,7,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,293,1300,"a",1,5,4,0,0,0,1,NA,0,1300,"0","kqu",NA,NA,0,0,NA,NA,1105636,0,1300,"0","kqu",0,NA,0,0,NA,NA,NA,1105636,NA,0.540014577613546,2.5,0.540014577613546,"254","ACJ-01",29.3,29.3,29.3,-25.6462829736211,"ok","shrunk.dbh.3","ok","ok",NA
"257",255,NA,7,NA,NA,NA,"Melastomataceae","Miconia","indet",NA,134,1300,"a",1,5,4,0,0,0,1,NA,134,1300,"c","1",NA,NA,0,0,NA,NA,1105637,135,1300,"a","1",4000,NA,0,0,2,"2a",NA,1105637,NA,0.599808019773585,4.5,0.599808019773585,"255","ACJ-01",13.4,13.4,13.5,0,"ok","ok","ok","ok",NA
"258",256,NA,7,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,129,1300,"a",1,6,4,0,0,0,1,NA,128,1300,"ch","1",NA,NA,0,0,NA,NA,1105638,131,1300,"c","1",5000,NA,0,0,1,"2b",NA,1105638,NA,0.599808019773585,5.5,0.599808019773585,"256","ACJ-01",12.9,12.8,13.1,-0.0875299760191843,"ok","ok","ok","ok",NA
"259",257,NA,7,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,104,1300,"a",1,5,4,0,0,0,1,NA,104,1300,"ch","1",NA,NA,0,0,NA,NA,1105639,103,1300,"c","1",6000,NA,0,0,1,"2b",NA,1105639,NA,0.599808019773585,5.5,0.599808019773585,"257","ACJ-01",10.4,10.4,10.3,0,"ok","ok","ok","ok",NA
"260",258,NA,7,NA,NA,NA,"Lauraceae","Persea","ruizii",NA,110,1300,"a",1,7,4,0,0,0,1,NA,126,1300,"a","1",NA,NA,0,0,NA,NA,1105640,111,1300,"a","1",6000,NA,0,0,0,"4",NA,1105640,NA,0.532941852631206,6.5,0.532941852631206,"258","ACJ-01",11,12.6,12.6,1.40047961630695,"ok","shrunk.dbh.3","ok","ok",NA
"261",259,NA,7,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,371,1300,"a",1,12,4,0,0,0,1,NA,372,1300,"a","1",NA,NA,0,0,NA,NA,1105641,394,1300,"c","1",12000,NA,0,0,0,"4",NA,1105641,NA,0.639235706846016,12,0.639235706846016,"259","ACJ-01",37.1,37.2,39.4,0.0875299760191859,"ok","ok","ok","ok",NA
"262",260,NA,7,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,291,1300,"a",1,10,4,0,0,0,1,NA,0,1300,"k","1",NA,NA,0,0,NA,NA,1105642,297,1300,"c","1",11000,NA,0,0,0,"3b",NA,1105642,NA,0.540014577613546,10.5,0.540014577613546,"260","ACJ-01",29.1,29.1,29.7,-25.4712230215827,"ok","shrunk.dbh.2","ok","ok",NA
"263",261,NA,7,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,133,1300,"a",1,7,4,0,0,0,1,NA,133,1300,"a","1",NA,NA,0,0,NA,NA,1105643,144,1300,"a","1",10500,NA,0,0,0,"4",NA,1105643,NA,0.639235706846016,8.75,0.639235706846016,"261","ACJ-01",13.3,13.3,14.4,0,"ok","ok","ok","ok",NA
"264",262,NA,7,NA,NA,NA,"Asteraceae","Pentacalia","indet",NA,110,1300,"a",1,12,4,0,0,0,1,NA,115,1300,"a","1",NA,NA,0,0,NA,NA,1105644,0,1300,"0","1",0,NA,0,0,NA,NA,"es liana",1105644,NA,0.622639616,6,0.622639616,"262","ACJ-01",11,11.5,11.5,0.437649880095923,"ok","shrunk.dbh.3","ok","ok",NA
"265",263,NA,7,NA,NA,NA,"Symplocaceae","Symplocos","quitensis",NA,184,1300,"a",1,8,4,0,0,0,1,NA,125,1300,"c","1",NA,NA,0,0,NA,NA,1105645,203,1300,"c","1",11000,NA,0,0,1,"4",NA,1105645,NA,0.574563977,9.5,0.574563977,"263","ACJ-01",18.4,18.4,20.3,-5.16426858513189,"ok","shrunk.dbh.2","ok","ok",NA
