Plot,TypeMeas,Tipo,Subplot,Tubo,Meas,DD,MM,YY,Id,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,8,30,10,10,35,422,0,0,0,0,0,5,33,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,9,30,10,10,35,423,0,0,0,0,0,5,38,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,10,30,10,10,35,424,0,0,0,0,0,6,43,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,11,30,10,10,35,424,0,0,0,0,0,7,48,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,12,30,10,10,35,425,0,0,0,0,0,8,52,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,13,30,10,10,35,426,0,0,0,0,0,8,57,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,14,30,10,10,35,427,0,0,0,0,0,9,62,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,15,30,10,10,36,427,0,0,0,0,0,10,67,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,16,30,10,10,36,428,0,0,0,0,0,11,72,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,17,30,10,10,36,429,0,0,0,0,0,12,76,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,18,30,10,10,36,430,0,0,0,0,0,12,81,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,19,30,10,10,36,431,0,0,0,0,0,13,86,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,20,30,10,10,36,431,0,0,0,0,0,14,91,0.12,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,21,30,10,10,36,432,0,0,0,0,0,15,96,0.13,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,22,30,10,10,36,433,0,0,0,0,0,16,100,0.13,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,23,30,10,10,36,434,0,0,0,0,0,17,105,0.13,0,0,856,8,
